Model,Dataset,Patch_Len,MSE,MAE
PatchFusionBERT_v0,ETTh1,16,0.4122,0.4231
PatchTST,ETTh1,16,0.4303,0.4311
PatchFusionBERT_v0,ETTm1,16,0.3361,0.3703
PatchTST,ETTm1,16,0.3327,0.3724
PatchFusionBERT_v0,ETTh1,32,0.4113,0.4206
PatchTST,ETTh1,32,0.4208,0.4288
PatchFusionBERT_v0,ETTm1,32,0.3293,0.3685
PatchTST,ETTm1,32,0.328,0.3716
PatchFusionBERT_v0,ETTh1,64,0.4109,0.4223
PatchTST,ETTh1,64,0.4253,0.4356
PatchFusionBERT_v0,ETTm1,64,0.3331,0.3719
PatchTST,ETTm1,64,0.3392,0.3774
PatchFusionBERT_v0,ETTh1,8,0.4069,0.423
PatchTST,ETTh1,8,0.4495,0.4454
PatchFusionBERT_v0,ETTm1,8,0.3402,0.3731
PatchTST,ETTm1,8,0.3327,0.3726
