Seed,Dataset,Horizon,K,MSE,MAE,LineNo,Source
2021,ETTh2,96,1,0.3081042170524597,0.35439756512641907,2026,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,96,2,0.31000176072120667,0.35241493582725525,2029,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,96,3,0.3091851472854614,0.3520107865333557,2032,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,192,1,0.37268075346946716,0.39967164397239685,2035,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,192,2,0.3781796097755432,0.3990583121776581,2038,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,192,3,0.37332436442375183,0.39755699038505554,2041,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,336,1,0.39674603939056396,0.4200746715068817,2044,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,336,2,0.389214426279068,0.42324745655059814,2047,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,ETTh2,336,3,0.39308229088783264,0.4163319170475006,2050,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,96,1,0.14926362037658691,0.19814860820770264,2053,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,96,2,0.15031033754348755,0.19950701296329498,2056,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,96,3,0.14944109320640564,0.19717127084732056,2059,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,192,1,0.19575060904026031,0.24207676947116852,2062,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,192,2,0.19422392547130585,0.24113424122333527,2065,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,192,3,0.19782251119613647,0.24256554245948792,2068,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,336,1,0.2494627684354782,0.2843843996524811,2071,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,336,2,0.25183412432670593,0.2848718464374542,2074,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
2021,Weather,336,3,0.25059792399406433,0.2836889624595642,2077,D:\Hussein-experiments\dynamic-ensemble-paper\Ts-library\patchfusionbert-forecasting\results\result_long_term_forecast.txt
