Model,Dataset,MSE_mean,MSE_std,MAE_mean,MAE_std,MSE_raw,MAE_raw
DLinear,ETTh1,0.4079543848832448,0.002903498017834108,0.41895247499148053,0.0037623943173503054,"[0.41113802790641785, 0.4072728455066681, 0.40545228123664856]","[0.4230816662311554, 0.41805747151374817, 0.41571828722953796]"
DLinear,ETTh2,0.3928197423617045,0.009420525817251993,0.42458415031433105,0.006766461214521671,"[0.3820885419845581, 0.3966434895992279, 0.3997271955013275]","[0.41691499948501587, 0.4271252453327179, 0.4297122061252594]"
DLinear,ETTm1,0.334236482779185,0.0002508661400612359,0.36434870958328247,0.0005851354712867919,"[0.3344587981700897, 0.3342861533164978, 0.3339644968509674]","[0.36490657925605774, 0.36439988017082214, 0.36373966932296753]"
DLinear,ETTm2,0.23437724510828653,0.0018476606315447047,0.3149733344713847,0.0018854350130114766,"[0.23572883009910583, 0.23513105511665344, 0.23227185010910034]","[0.31527718901634216, 0.3166883885860443, 0.3129544258117676]"
DLinear,Exchange,0.17945857842763266,0.007040061769217653,0.317263662815094,0.004791899553474264,"[0.1866598129272461, 0.17912432551383972, 0.17259159684181213]","[0.3224077522754669, 0.3164568543434143, 0.31292638182640076]"
DLinear,Weather,0.2175749639670054,0.0022663607003464794,0.277329554160436,0.004803269317184702,"[0.21812552213668823, 0.21951532363891602, 0.215084046125412]","[0.2787924110889435, 0.2812313139438629, 0.2719649374485016]"
PFB_v0,ETTh1,0.4134707450866699,0.004653548316488556,0.4262608786424001,0.0018521861067714205,"[0.4106091260910034, 0.41884031891822815, 0.4109627902507782]","[0.4242137670516968, 0.42782071232795715, 0.4267481565475464]"
PFB_v0,ETTh2,0.3709461788336436,0.005955352014480075,0.39858264724413556,0.0028773328427136426,"[0.37201127409935, 0.37629711627960205, 0.36453014612197876]","[0.40039920806884766, 0.4000835418701172, 0.3952651917934418]"
PFB_v0,ETTm1,0.3407181104024251,0.0022399400122130784,0.37521512309710187,0.001894373050745023,"[0.34262603521347046, 0.34127649664878845, 0.3382517993450165]","[0.37474527955055237, 0.3773002028465271, 0.3735998868942261]"
PFB_v0,ETTm2,0.2286535451809565,0.005275544756078007,0.2973606586456299,0.002067580945156135,"[0.23469436168670654, 0.22495286166667938, 0.22631341218948364]","[0.29971960186958313, 0.29586270451545715, 0.29649966955184937]"
PFB_v0,Exchange,0.22223698099454245,0.0034233593704805854,0.33774258693059284,0.00421621086861014,"[0.21839313209056854, 0.22336015105247498, 0.2249576598405838]","[0.3339884579181671, 0.3369351923465729, 0.3423041105270386]"
PFB_v0,Weather,0.19437689582506815,0.0011957738399019809,0.24085633456707,0.002548174524560584,"[0.19359125196933746, 0.1957530528306961, 0.1937863826751709]","[0.2387375384569168, 0.2436838448047638, 0.24014762043952942]"
PatchTST,ETTh1,0.432410329580307,0.0012388392988575843,0.4369925260543823,0.006198398144360917,"[0.4311766028404236, 0.43365421891212463, 0.4324001669883728]","[0.4324896037578583, 0.4344260096549988, 0.4440619647502899]"
PatchTST,ETTh2,0.38479581475257874,0.007270637792960372,0.4079211354255676,0.004138329326751909,"[0.38874056935310364, 0.389241486787796, 0.37640538811683655]","[0.4117979407310486, 0.40840214490890503, 0.40356332063674927]"
PatchTST,ETTm1,0.33762891093889874,0.004583079650181535,0.37607937057813007,0.0017789435394295924,"[0.34289929270744324, 0.33457908034324646, 0.33540835976600647]","[0.37755632400512695, 0.3765772581100464, 0.3741045296192169]"
PatchTST,ETTm2,0.23477010428905487,0.006030247362653239,0.3069333831469218,0.005185234199848377,"[0.22819937765598297, 0.23605971038341522, 0.24005122482776642]","[0.30184659361839294, 0.3067418038845062, 0.3122117519378662]"
PatchTST,Exchange,0.1903869460026423,0.005499793546507692,0.31639037529627484,0.004539598258094427,"[0.19131074845790863, 0.18448375165462494, 0.19536633789539337]","[0.3182152509689331, 0.3112223148345947, 0.31973356008529663]"
PatchTST,Weather,0.19659792383511862,0.0005603348445018423,0.24308469891548157,0.00014545862895478002,"[0.19619545340538025, 0.19723789393901825, 0.19636042416095734]","[0.24292491376399994, 0.24320942163467407, 0.2431197613477707]"
