Model,Dataset,Horizon,SeqLen,MSE,MAE,ExperimentName
Autoformer,ETTh1,96,96,0.4670165479183197,0.4709823429584503,long_term_forecast_Autoformer_100epoch_Autoformer_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh1,96,336,0.37171638011932373,0.3952139616012573,long_term_forecast_DLinear_100epoch_DLinear_ETTh1_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_baseline_100_0
DLinear,ETTh1,96,336,0.3750735819339752,0.3986847400665283,long_term_forecast_DLinear_ETTh1_H96_seed2021_DLinear_ETTh1_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
DLinear,ETTh1,96,336,0.3752487599849701,0.39878544211387634,long_term_forecast_DLinear_ETTh1_H96_seed2022_DLinear_ETTh1_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
DLinear,ETTh1,96,336,0.3750429153442383,0.3985247015953064,long_term_forecast_DLinear_ETTh1_H96_seed2023_DLinear_ETTh1_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0
Informer,ETTh1,96,96,0.9643483757972717,0.7803738117218018,long_term_forecast_Informer_100epoch_Informer_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_baseline_100_0
PatchFusionBERT_BERTOnly,ETTh1,96,336,0.3799954354763031,0.40498363971710205,long_term_forecast_BERTOnly_100epoch_PatchFusionBERT_BERTOnly_ETTh1_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_Ablation_100_0
PatchFusionBERT_v0,ETTh1,96,336,0.36754170060157776,0.3951941430568695,long_term_forecast_PFB_v0_100epoch_PatchFusionBERT_v0_ETTh1_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_PFB_100_0
PatchFusionBERT_v0,ETTh1,96,96,0.38598132133483887,0.4019874632358551,long_term_forecast_ETTh1_96_96_PatchFusionBERT_v0_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0
PatchFusionBERT_v2,ETTh1,96,336,0.3862752318382263,0.40525537729263306,long_term_forecast_PFB_v2_100epoch_PatchFusionBERT_v2_ETTh1_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_PFB_100_0
