Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,96,DLinear,clean,0.0,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.16939815878868103,0.26572561264038086,0.41158008575439453,1.0266202688217163,197.6416015625
ETTm2,96,DLinear,random,0.1,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.24324923753738403,0.3365631401538849,0.4932030439376831,0.9865744113922119,164.8778533935547
ETTm2,96,DLinear,random,0.2,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.3652421832084656,0.42404836416244507,0.6043527126312256,0.9591676592826843,132.65196228027344
ETTm2,96,DLinear,random,0.3,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.5385112762451172,0.5250586271286011,0.7338332533836365,0.9423675537109375,104.69486999511719
ETTm2,96,DLinear,block,0.1,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.22453686594963074,0.31481170654296875,0.473853200674057,1.0444793701171875,194.9064178466797
ETTm2,96,DLinear,block,0.2,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.27585363388061523,0.3519313931465149,0.5252177119255066,1.0529563426971436,184.4747314453125
ETTm2,96,DLinear,block,0.3,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.36455222964286804,0.406669020652771,0.6037815809249878,1.066349983215332,174.35098266601562
ETTm2,96,PatchTST,clean,0.0,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.1741941273212433,0.26267698407173157,0.417365700006485,1.0589847564697266,205.76295471191406
ETTm2,96,PatchTST,random,0.1,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.24612915515899658,0.3274863660335541,0.496114045381546,1.0066570043563843,165.68052673339844
ETTm2,96,PatchTST,random,0.2,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.37126654386520386,0.414724737405777,0.6093164682388306,0.9744877219200134,129.49940490722656
ETTm2,96,PatchTST,random,0.3,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.5531339645385742,0.5195183157920837,0.7437297701835632,0.9617378115653992,101.13848114013672
ETTm2,96,PatchTST,block,0.1,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.23474739491939545,0.32397910952568054,0.48450738191604614,1.0577558279037476,195.14967346191406
ETTm2,96,PatchTST,block,0.2,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.2740473449230194,0.35387176275253296,0.5234953165054321,1.0584313869476318,194.38665771484375
ETTm2,96,PatchTST,block,0.3,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.40365710854530334,0.43195271492004395,0.63534015417099,1.062171220779419,178.78944396972656
ETTm2,96,PFB-Direct,clean,0.0,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.1679251790046692,0.25711220502853394,0.40978676080703735,1.0629920959472656,215.6056365966797
ETTm2,96,PFB-Direct,random,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.23391477763652802,0.3232927620410919,0.4836473762989044,1.0250940322875977,177.92877197265625
ETTm2,96,PFB-Direct,random,0.2,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.34559330344200134,0.4075257480144501,0.5878718495368958,0.9939311146736145,141.97805786132812
ETTm2,96,PFB-Direct,random,0.3,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.5104695558547974,0.5078803896903992,0.7144715189933777,0.9734827280044556,111.8812026977539
ETTm2,96,PFB-Direct,block,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.22067947685718536,0.3105057179927826,0.4697653353214264,1.072412133216858,222.23037719726562
ETTm2,96,PFB-Direct,block,0.2,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.2667231857776642,0.34529733657836914,0.5164524912834167,1.06421959400177,202.00563049316406
ETTm2,96,PFB-Direct,block,0.3,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.3554536998271942,0.4045892357826233,0.5961993932723999,1.0533050298690796,178.05369567871094
ETTm2,96,PFB-Projected,clean,0.0,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.1695358157157898,0.25669148564338684,0.4117472767829895,1.0313113927841187,194.1164093017578
ETTm2,96,PFB-Projected,random,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.2309749573469162,0.3126560151576996,0.4805985391139984,0.9873969554901123,156.6564483642578
ETTm2,96,PFB-Projected,random,0.2,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.31295689940452576,0.3817395269870758,0.5594255328178406,0.9539079666137695,125.08375549316406
