Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE,Clean_MSE,Clean_MAE,MSE_DegradationPct,MAE_DegradationPct
ETTm2,96,DLinear,block,0.1,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.2245368659496307,0.3148117065429687,0.473853200674057,1.0444793701171875,194.9064178466797,0.169398158788681,0.2657256126403808,32.5497676924184,18.4724736975274
ETTm2,96,PatchTST,block,0.1,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.2347473949193954,0.3239791095256805,0.4845073819160461,1.0577558279037476,195.1496734619141,0.1741941273212433,0.2626769840717315,34.76194549686609,23.337455952063415
ETTm2,96,PFB-Direct,block,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.2206794768571853,0.3105057179927826,0.4697653353214264,1.072412133216858,222.2303771972656,0.1679251790046692,0.2571122050285339,31.415359010008427,20.76661936695039
ETTm2,96,PFB-Projected,block,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.2206597328186035,0.3103128373622894,0.469744324684143,1.0299537181854248,186.5629119873047,0.1695358157157898,0.2566914856433868,30.155231145092042,20.88941578428394
ETTm2,96,DLinear,block,0.2,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.2758536338806152,0.3519313931465149,0.5252177119255066,1.0529563426971436,184.4747314453125,0.169398158788681,0.2657256126403808,62.843348388888984,32.44165274455515
ETTm2,96,PatchTST,block,0.2,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.2740473449230194,0.3538717627525329,0.5234953165054321,1.0584313869476318,194.38665771484372,0.1741941273212433,0.2626769840717315,57.322952924601175,34.71746068772361
ETTm2,96,PFB-Direct,block,0.2,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.2667231857776642,0.3452973365783691,0.5164524912834167,1.06421959400177,202.0056304931641,0.1679251790046692,0.2571122050285339,58.83454009612692,34.29830627451099
ETTm2,96,PFB-Projected,block,0.2,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.2667331397533417,0.3444263935089111,0.5164621472358704,1.0227559804916382,172.81973266601562,0.1695358157157898,0.2566914856433868,57.33143974751251,34.17912660625276
ETTm2,96,DLinear,block,0.3,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.364552229642868,0.406669020652771,0.6037815809249878,1.066349983215332,174.35098266601562,0.169398158788681,0.2657256126403808,115.2043636422493,53.04095702778026
ETTm2,96,PatchTST,block,0.3,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.4036571085453033,0.4319527149200439,0.63534015417099,1.062171220779419,178.78944396972656,0.1741941273212433,0.2626769840717315,131.72831068001028,64.44254392767307
ETTm2,96,PFB-Direct,block,0.3,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.3554536998271942,0.4045892357826233,0.5961993932723999,1.0533050298690796,178.05369567871094,0.1679251790046692,0.2571122050285339,111.67385494781028,57.35901597426021
ETTm2,96,PFB-Projected,block,0.3,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Projected_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.3529358208179474,0.3996203541755676,0.5940840244293213,1.0103538036346436,155.1712646484375,0.1695358157157898,0.2566914856433868,108.17773479180927,55.68118793419868
ETTm2,96,DLinear,random,0.1,24,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,512,2,32,0.243249237537384,0.3365631401538849,0.4932030439376831,0.986574411392212,164.8778533935547,0.169398158788681,0.2657256126403808,43.59615197519942,26.65814815878208
ETTm2,96,PatchTST,random,0.1,24,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,48,128,3,32,0.2461291551589965,0.3274863660335541,0.496114045381546,1.0066570043563845,165.68052673339844,0.1741941273212433,0.2626769840717315,41.29589725208871,24.67265344577144
ETTm2,96,PFB-Direct,random,0.1,24,long_term_forecast_CapMatch_MS2021_ETTm2_96_PFB-Direct_ETTm2_ftM_sl336_ll96_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_capmatch_0,336,96,128,3,32,0.233914777636528,0.3232927620410919,0.4836473762989044,1.0250940322875977,177.92877197265625,0.1679251790046692,0.2571122050285339,39.29702443849945,25.739951553530272
