Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE
Exchange,192,DLinear,clean,0.0,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.1866598278284073,0.3224077522754669,0.4320414662361145,1.6548246145248413,1405.7896728515625
Exchange,192,DLinear,random,0.1,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.24882446229457855,0.3842279613018036,0.4988230764865875,1.5438225269317627,1147.5689697265625
Exchange,192,DLinear,random,0.2,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3607890009880066,0.47359248995780945,0.6006571650505066,1.4443697929382324,907.6231689453125
Exchange,192,DLinear,random,0.3,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.5207660794258118,0.5773413181304932,0.7216412425041199,1.362391471862793,707.8710327148438
Exchange,192,DLinear,block,0.1,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.2558921277523041,0.369629830121994,0.5058578252792358,1.6102312803268433,1307.8951416015625
Exchange,192,DLinear,block,0.2,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3326647877693176,0.4174450933933258,0.5767710208892822,1.5712890625,1217.9661865234375
Exchange,192,DLinear,block,0.3,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.45349469780921936,0.48661112785339355,0.6734201312065125,1.5095903873443604,1066.0850830078125
Exchange,192,PatchTST,clean,0.0,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.19131074845790863,0.3182152509689331,0.43739083409309387,2.0330593585968018,1948.21142578125
Exchange,192,PatchTST,random,0.1,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.6239640712738037,0.5755796432495117,0.7899139523506165,1.698421597480774,962.8366088867188
Exchange,192,PatchTST,random,0.2,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,1.3886584043502808,0.8519014716148376,1.1784135103225708,1.8555594682693481,903.0499267578125
Exchange,192,PatchTST,random,0.3,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,2.2643332481384277,1.0961803197860718,1.5047701597213745,2.1287732124328613,1080.9530029296875
Exchange,192,PatchTST,block,0.1,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.287634938955307,0.41962680220603943,0.5363160967826843,1.7655402421951294,1241.9647216796875
Exchange,192,PatchTST,block,0.2,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.2754755914211273,0.39478567242622375,0.5248576998710632,1.7862820625305176,1463.450927734375
Exchange,192,PatchTST,block,0.3,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.3467862010002136,0.430603563785553,0.5888855457305908,1.8606048822402954,1832.791259765625
Exchange,192,PFB-Direct,clean,0.0,24,long_term_forecast_PFB-Direct_MS2021_Exchange_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.21839313209056854,0.3339884579181671,0.46732550859451294,2.102154016494751,2270.247314453125
Exchange,192,PFB-Direct,random,0.1,24,long_term_forecast_PFB-Direct_MS2021_Exchange_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.347880095243454,0.4216330945491791,0.5898135900497437,1.8695710897445679,1841.4462890625
Exchange,192,PFB-Direct,random,0.2,24,long_term_forecast_PFB-Direct_MS2021_Exchange_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5554997324943542,0.5221849679946899,0.7453185319900513,1.7253614664077759,1497.8929443359375
Exchange,192,PFB-Direct,random,0.3,24,long_term_forecast_PFB-Direct_MS2021_Exchange_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.8102282881736755,0.6262239217758179,0.9001268148422241,1.651729941368103,1306.062744140625
Exchange,192,PFB-Direct,block,0.1,24,long_term_forecast_PFB-Direct_MS2021_Exchange_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.2977580726146698,0.40357735753059387,0.5456721186637878,1.9772106409072876,2076.438720703125
Exchange,192,PFB-Direct,block,0.2,24,long_term_forecast_PFB-Direct_MS2021_Exchange_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.385044127702713,0.45849359035491943,0.62051922082901,2.0171897411346436,2253.015625
Exchange,192,PFB-Direct,block,0.3,24,long_term_forecast_PFB-Direct_MS2021_Exchange_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.5100433826446533,0.5278416872024536,0.7141731977462769,2.091262102127075,2542.364501953125
Exchange,192,PFB-Projected,clean,0.0,24,long_term_forecast_PFB-Projected_H192_Exchange_192_PFB-Projected_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.18779796361923218,0.31083133816719055,0.4333566129207611,1.9397544860839844,1938.7369384765625
Exchange,192,PFB-Projected,random,0.1,24,long_term_forecast_PFB-Projected_H192_Exchange_192_PFB-Projected_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.3541126847267151,0.4011816680431366,0.5950736999511719,1.6897203922271729,1444.3006591796875
Exchange,192,PFB-Projected,random,0.2,24,long_term_forecast_PFB-Projected_H192_Exchange_192_PFB-Projected_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.5610305666923523,0.5118788480758667,0.7490197420120239,1.5570067167282104,1127.4716796875
Exchange,192,PFB-Projected,random,0.3,24,long_term_forecast_PFB-Projected_H192_Exchange_192_PFB-Projected_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.8535506725311279,0.6395734548568726,0.9238780736923218,1.504815936088562,949.8690185546875
