Dataset,Horizon,Model,Corruption,Missing_Rate,Block_Size,Checkpoint_Folder,Seq_Len,Label_Len,D_Model,E_Layers,Batch_Size,MSE,MAE,RMSE,MAPE,MSPE,Clean_MSE,Clean_MAE,MSE_DegradationPct,MAE_DegradationPct
Exchange,192,DLinear,block,0.1,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.2558921277523041,0.369629830121994,0.5058578252792358,1.6102312803268433,1307.8951416015625,0.1866598278284073,0.3224077522754669,37.09009095815768,14.64669429107905
Exchange,192,PatchTST,block,0.1,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.287634938955307,0.4196268022060394,0.5363160967826843,1.7655402421951294,1241.9647216796875,0.1913107484579086,0.3182152509689331,50.34959680720252,31.86885321439447
Exchange,192,PatchFusionBERT_v0,block,0.1,24,long_term_forecast_PFB_v0_MS2021_Exchange_192_PatchFusionBERT_v0_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.2977580726146698,0.4035773575305938,0.5456721186637878,1.977210640907288,2076.438720703125,0.2183931320905685,0.3339884579181671,36.34040125913317,20.835719906667304
Exchange,192,PatchFusionBERT_v2,block,0.1,24,long_term_forecast_PFB_v2_H192_Exchange_192_PatchFusionBERT_v2_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.3212930858135223,0.434473305940628,0.5668272376060486,1.7043896913528442,1277.7017822265625,0.1877979636192321,0.3108313381671905,71.08443543347302,39.77783208813159
Exchange,192,DLinear,block,0.2,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.3326647877693176,0.4174450933933258,0.5767710208892822,1.5712890625,1217.9661865234375,0.1866598278284073,0.3224077522754669,78.21980853594799,29.477374674495564
Exchange,192,PatchTST,block,0.2,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.2754755914211273,0.3947856724262237,0.5248576998710632,1.7862820625305176,1463.450927734375,0.1913107484579086,0.3182152509689331,43.99378688424102,24.062461250408784
Exchange,192,PatchFusionBERT_v0,block,0.2,24,long_term_forecast_PFB_v0_MS2021_Exchange_192_PatchFusionBERT_v0_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.385044127702713,0.4584935903549194,0.62051922082901,2.017189741134644,2253.015625,0.2183931320905685,0.3339884579181671,76.3078005324058,37.278273989713185
Exchange,192,PatchFusionBERT_v2,block,0.2,24,long_term_forecast_PFB_v2_H192_Exchange_192_PatchFusionBERT_v2_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_PFB_100_0,336,96,128,3,32,0.3368073403835296,0.4214956164360046,0.5803510546684265,1.8331705331802368,1922.360107421875,0.1877979636192321,0.3108313381671905,79.34557643362949,35.60267729803029
Exchange,192,DLinear,block,0.3,24,long_term_forecast_DLinear_MS2021_Exchange_192_DLinear_custom_ftM_sl336_ll96_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,512,2,32,0.4534946978092193,0.4866111278533935,0.6734201312065125,1.5095903873443604,1066.0850830078125,0.1866598278284073,0.3224077522754669,142.95248907338973,50.93034346073364
Exchange,192,PatchTST,block,0.3,24,long_term_forecast_PatchTST_MS2021_Exchange_192_PatchTST_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0,336,96,128,3,32,0.3467862010002136,0.430603563785553,0.5888855457305908,1.8606048822402956,1832.791259765625,0.1913107484579086,0.3182152509689331,81.26854021299911,35.3183301159856
