dataset,horizon,model,mse,mae
ETTm1,96,PFB-Direct,0.30370619893074036,0.34789031744003296
ETTm1,96,PFB-Projected,0.29843229055404663,0.3466307818889618
ETTm1,96,PatchTST,0.2981731593608856,0.3489706814289093
ETTm1,96,DLinear,0.3003472685813904,0.3448158800601959
ETTm2,96,PFB-Direct,0.1679251790046692,0.25711220502853394
ETTm2,96,PFB-Projected,0.1695358157157898,0.25669148564338684
ETTm2,96,PatchTST,0.17282205820083618,0.2640388607978821
ETTm2,96,DLinear,0.16528131067752838,0.2573530673980713
ETTh1,96,PFB-Direct,0.36754170060157776,0.3951941430568695
ETTh1,96,PFB-Projected,0.3862752318382263,0.40525537729263306
ETTh1,96,PatchTST,0.3813759386539459,0.4063098430633545
ETTh1,96,DLinear,0.37115657329559326,0.39274832606315613
ETTh2,96,PFB-Direct,0.30538833141326904,0.3523827791213989
ETTh2,96,PFB-Projected,0.2893078029155731,0.34741267561912537
ETTh2,96,PatchTST,0.3145037591457367,0.3646617531776428
ETTh2,96,DLinear,0.2835879325866699,0.3472675085067749
Exchange,96,PFB-Direct,0.0961424708366394,0.21781837940216064
Exchange,96,PFB-Projected,0.09677010029554367,0.21803997457027435
Exchange,96,PatchTST,0.09531733393669128,0.21947354078292847
Exchange,96,DLinear,0.08494987338781357,0.2052217274904251
Weather,96,PFB-Direct,0.14977960288524628,0.1972322165966034
Weather,96,PFB-Projected,0.14963778853416443,0.19795450568199158
Weather,96,PatchTST,0.1517603099346161,0.2024952471256256
Weather,96,DLinear,0.17818108201026917,0.24319998919963837
ETTm1,192,PFB-Direct,0.34262603521347046,0.37474527955055237
ETTm1,192,PFB-Projected,0.33255892992019653,0.36900731921195984
ETTm1,192,PatchTST,0.34289929270744324,0.37755632400512695
ETTm1,192,DLinear,0.3356519937515259,0.3662714660167694
ETTm2,192,PFB-Direct,0.23469436168670654,0.29971960186958313
ETTm2,192,PFB-Projected,0.23469646275043488,0.30013155937194824
ETTm2,192,PatchTST,0.22819937765598297,0.30184659361839294
ETTm2,192,DLinear,0.22734816372394562,0.3077053725719452
ETTh1,192,PFB-Direct,0.4106091260910034,0.4242137670516968
ETTh1,192,PFB-Projected,0.41984885931015015,0.42661020159721375
ETTh1,192,PatchTST,0.4311766028404236,0.4324896037578583
ETTh1,192,DLinear,0.4043472111225128,0.4128386974334717
ETTh2,192,PFB-Direct,0.37201127409935,0.40039920806884766
ETTh2,192,PFB-Projected,0.3672778010368347,0.39518222212791443
ETTh2,192,PatchTST,0.38874056935310364,0.4117979407310486
ETTh2,192,DLinear,0.3796707093715668,0.41506844758987427
Exchange,192,PFB-Direct,0.21839313209056854,0.3339884579181671
Exchange,192,PFB-Projected,0.18779796361923218,0.31083133816719055
Exchange,192,PatchTST,0.19131074845790863,0.3182152509689331
Exchange,192,DLinear,0.15393434464931488,0.2859606444835663
Weather,192,PFB-Direct,0.19359125196933746,0.2387375384569168
Weather,192,PFB-Projected,0.19377729296684265,0.2393629103899002
Weather,192,PatchTST,0.19619545340538025,0.24292491376399994
Weather,192,DLinear,0.21787935495376587,0.2775306701660156
ETTm1,336,PFB-Direct,0.38225868344306946,0.39914095401763916
ETTm1,336,PFB-Projected,0.36945074796676636,0.39610999822616577
ETTm1,336,PatchTST,0.37405356764793396,0.3981127440929413
ETTm1,336,DLinear,0.3704244792461395,0.3871592879295349
ETTm2,336,PFB-Direct,0.273871511220932,0.32909080386161804
ETTm2,336,PFB-Projected,0.301374614238739,0.3496493399143219
ETTm2,336,PatchTST,0.2934870719909668,0.34565988183021545
ETTm2,336,DLinear,0.29303935170173645,0.3524199426174164
ETTh1,336,PFB-Direct,0.4378277361392975,0.44761794805526733
ETTh1,336,PFB-Projected,0.4410969614982605,0.4404427409172058
ETTh1,336,PatchTST,0.49337053298950195,0.49008145928382874
ETTh1,336,DLinear,0.4344950318336487,0.4352075755596161
ETTh2,336,PFB-Direct,0.3814277946949005,0.41385334730148315
ETTh2,336,PFB-Projected,0.39553478360176086,0.42251238226890564
ETTh2,336,PatchTST,0.40590527653694153,0.429319828748703
ETTh2,336,DLinear,0.42573878169059753,0.45548510551452637
Exchange,336,PFB-Direct,0.3533194661140442,0.4340231716632843
Exchange,336,PFB-Projected,0.33808934688568115,0.4222877323627472
Exchange,336,PatchTST,0.3138968348503113,0.409212589263916
Exchange,336,DLinear,0.2889705300331116,0.40268653631210327
Weather,336,PFB-Direct,0.2517067492008209,0.2838646173477173
Weather,336,PFB-Projected,0.24456921219825745,0.2801981270313263
Weather,336,PatchTST,0.24788911640644073,0.2813984453678131
Weather,336,DLinear,0.26123175024986267,0.3115933835506439
ETTm1,720,PFB-Direct,0.41651710867881775,0.42379552125930786
ETTm1,720,PFB-Projected,0.42141667008399963,0.4250575602054596
ETTm1,720,PatchTST,0.42067739367485046,0.42779597640037537
ETTm1,720,DLinear,0.45153626799583435,0.44776996970176697
ETTm2,720,PFB-Direct,0.36383920907974243,0.38653457164764404
ETTm2,720,PFB-Projected,0.3801620304584503,0.3949734568595886
ETTm2,720,PatchTST,0.37614113092422485,0.3955353796482086
ETTm2,720,DLinear,0.4515409469604492,0.45929858088493347
ETTh1,720,PFB-Direct,0.5820299983024597,0.5426948070526123
ETTh1,720,PFB-Projected,0.5676890015602112,0.531745970249176
ETTh1,720,PatchTST,0.6698223352432251,0.5692902207374573
ETTh1,720,DLinear,0.4749901294708252,0.4905174970626831
ETTh2,720,PFB-Direct,0.42002174258232117,0.4491237998008728
ETTh2,720,PFB-Projected,0.4168156385421753,0.4455200731754303
ETTh2,720,PatchTST,0.41943949460983276,0.4486214518547058
ETTh2,720,DLinear,0.7116701006889343,0.5984217524528503
Exchange,720,PFB-Direct,0.9946463108062744,0.7515065670013428
Exchange,720,PFB-Projected,0.9853788018226624,0.7331247329711914
Exchange,720,PatchTST,0.9261941909790039,0.7133227586746216
Exchange,720,DLinear,0.5605171322822571,0.5882174968719482
Weather,720,PFB-Direct,0.335490345954895,0.3421134650707245
Weather,720,PFB-Projected,0.32065823674201965,0.3323536217212677
Weather,720,PatchTST,0.3280668258666992,0.33677688241004944
Weather,720,DLinear,0.324472039937973,0.3634667694568634
Illness,24,PFB-Direct,1.960111379623413,0.8826153874397278
Illness,24,PFB-Projected,2.0520384311676025,0.9311892986297607
Illness,24,PatchTST,2.226719379425049,1.0280022621154785
Illness,24,DLinear,2.618129014968872,1.2047094106674194
Illness,48,PFB-Direct,1.8854596614837646,0.8945566415786743
Illness,48,PFB-Projected,2.000688076019287,0.9253119230270386
Illness,48,PatchTST,1.9039270877838135,0.8919050097465515
Illness,48,DLinear,2.288309097290039,1.07637357711792
Illness,60,PFB-Direct,2.0831267833709717,0.9810685515403748
Illness,60,PFB-Projected,2.0633487701416016,0.9544411301612854
Illness,60,PatchTST,1.9808322191238403,0.9324859976768494
Illness,60,DLinear,2.4885880947113037,1.1482690572738647
