dataset,scope,horizon,best_fusion_model,best_fusion_mse,best_baseline_model,best_baseline_mse,fusion_gain_pct
ETTm2,5seed_h192,192,PFB-Direct,0.2286747634410858,DLinear,0.2307850897312164,0.914411885355493
Exchange,5seed_h192,192,PFB-Projected,0.2011403203010559,DLinear,0.1779092878103256,-13.057796350406168
Weather,5seed_h192,192,PFB-Projected,0.1940605640411377,PatchTST,0.1976498752832412,1.815994691097007
ETTm2,single_or_mixed_all_horizons,96,PFB-Direct,0.1679251790046692,DLinear,0.1688051174084345,0.5212747203843694
ETTm2,single_or_mixed_all_horizons,192,PFB-Direct,0.2310698717832565,PatchTST,0.2281993776559829,-1.2578886747013664
ETTm2,single_or_mixed_all_horizons,336,PFB-Direct,0.273871511220932,PatchTST,0.2947231729825337,7.0749990747546105
Exchange,single_or_mixed_all_horizons,192,PFB-Projected,0.1877979636192321,DLinear,0.1866598129272461,-0.609745972706838
Exchange,single_or_mixed_all_horizons,336,PFB-Projected,0.3380893468856811,PatchTST,0.3669647872447967,7.86872238503179
Weather,single_or_mixed_all_horizons,192,PFB-Direct,0.1941804848611354,PatchTST,0.1961954534053802,1.0270210187192534
Weather,single_or_mixed_all_horizons,336,PFB-Direct,0.2517067492008209,PatchTST,0.2472721089919408,-1.793425156989566
