Dataset,Horizon,Model,Checkpoint_Folder,Seq_Len,D_Model,E_Layers,Batch_Size,Corruption,Rate,MSE,MAE,RMSE,MAPE,MSPE
ETTm2,96,DLinear,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,clean,0.0,0.16939815878868103,0.26572561264038086,0.41158008575439453,1.0266202688217163,197.6416015625
ETTm2,96,DLinear,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,gaussian,0.1,0.1695384979248047,0.2658920884132385,0.41175052523612976,1.0272735357284546,197.84912109375
ETTm2,96,DLinear,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,gaussian,0.3,0.1707085371017456,0.26727157831192017,0.41316890716552734,1.0342702865600586,199.5894317626953
ETTm2,96,DLinear,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,gaussian,0.5,0.17306379973888397,0.2699562907218933,0.4160093665122986,1.0482330322265625,203.0963134765625
ETTm2,96,DLinear,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,channel_dropout,0.1,0.5802608132362366,0.4189377427101135,0.7617485523223877,1.0352944135665894,179.7449188232422
ETTm2,96,DLinear,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,channel_dropout,0.2,0.5802608132362366,0.4189377427101135,0.7617485523223877,1.0352944135665894,179.7449188232422
ETTm2,96,DLinear,long_term_forecast_DLinear_ETTm2_H96_seed2021_DLinear_ETTm2_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,512,2,32,channel_dropout,0.3,1.0171403884887695,0.5705703496932983,1.0085338354110718,1.0295047760009766,157.44862365722656
ETTm2,96,PatchTST,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,128,3,32,clean,0.0,0.1741941273212433,0.26267698407173157,0.417365700006485,1.0589847564697266,205.76295471191406
ETTm2,96,PatchTST,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,128,3,32,gaussian,0.1,0.17421481013298035,0.26274922490119934,0.41739046573638916,1.0594608783721924,205.91860961914062
ETTm2,96,PatchTST,long_term_forecast_PatchTST_ETTm2_H96_seed2021_PatchTST_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el3_dl1_df512_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,336,128,3,32,gaussian,0.3,0.1751030832529068,0.26386016607284546,0.4184532165527344,1.066234827041626,206.57960510253906
