Dataset,Horizon,Comparison,Stream_A,Stream_B,Linear_CKA,n_samples
Weather,192,PFBv0_before_vs_after_refinement,PFBv0_patch_encoder_out,PFBv0_bert_encoder_out,0.7514508690138375,4096
Weather,192,PatchTST_vs_PFBv0_patch_stream,PatchTST_encoder_out,PFBv0_patch_encoder_out,0.658067866533898,4096
Weather,192,PatchTST_vs_PFBv0_bert_stream,PatchTST_encoder_out,PFBv0_bert_encoder_out,0.6912528529296792,4096
Weather,192,PFBv0_vs_PFBv2_patch_stream,PFBv0_patch_encoder_out,PFBv2_patch_encoder_out,0.6489293923007958,4096
Weather,192,PFBv0_vs_PFBv2_bert_stream,PFBv0_bert_encoder_out,PFBv2_bert_encoder_out,0.6172172958515595,4096
Weather,192,PFBv2_before_vs_after_refinement,PFBv2_patch_encoder_out,PFBv2_bert_encoder_out,0.6591338703403686,4096
ETTm2,192,PFBv0_before_vs_after_refinement,PFBv0_patch_encoder_out,PFBv0_bert_encoder_out,0.6328243066783329,4096
ETTm2,192,PatchTST_vs_PFBv0_patch_stream,PatchTST_encoder_out,PFBv0_patch_encoder_out,0.8184672530943854,4096
ETTm2,192,PatchTST_vs_PFBv0_bert_stream,PatchTST_encoder_out,PFBv0_bert_encoder_out,0.6103301625675096,4096
ETTm2,192,PFBv0_vs_PFBv2_patch_stream,PFBv0_patch_encoder_out,PFBv2_patch_encoder_out,0.8348671358384795,4096
ETTm2,192,PFBv0_vs_PFBv2_bert_stream,PFBv0_bert_encoder_out,PFBv2_bert_encoder_out,0.5103948252994898,4096
ETTm2,192,PFBv2_before_vs_after_refinement,PFBv2_patch_encoder_out,PFBv2_bert_encoder_out,0.4239123442661083,4096
