Model,MSE_mean,MSE_std,MAE_mean,MAE_std,Rank
BERTOnly,0.311931,0.131721,0.344235,0.102838,1
PatchTST,0.375361,0.423348,0.370094,0.162187,2
PatchFusionBERT_v0,0.438714,0.575223,0.369002,0.204913,3
TiDE,0.621725,1.086307,0.436021,0.340562,4
TimeXer,0.648699,0.754163,0.469844,0.254453,5
DLinear,0.708418,1.068287,0.478386,0.335792,6
PatchFusionBERT_v2,0.743645,0.774328,0.509752,0.258891,7
Autoformer,0.789212,1.133809,0.523443,0.337154,8
iTransformer,0.809396,0.859528,0.544797,0.289989,9
Transformer,1.623782,1.667035,0.87113,0.542298,10
Informer,2.0937,2.32602,0.982695,0.587763,11
