Model,Dataset,Horizon,MSE_mean,MSE_std,N_runs,MAE_mean,MAE_std
Autoformer,ETTh1,96,0.4670165479183197,,1,0.4709823429584503,
Autoformer,ETTh2,192,0.4351978302001953,,1,0.44656404852867126,
Autoformer,ETTm1,96,0.5176491141319275,,1,0.47615644335746765,
Autoformer,ETTm2,192,0.2746172249317169,,1,0.3339967727661133,
Autoformer,Illness,24,3.34497332572937,,1,1.270573616027832,
Autoformer,Illness,96,0.15368697047233582,,1,0.28578224778175354,
Autoformer,Weather,192,0.33134135603904724,,1,0.38004639744758606,
BERTOnly,ETTh2,96,0.3085458278656006,,1,0.36794278025627136,
BERTOnly,ETTh2,192,0.38953882455825806,,1,0.4296457767486572,
BERTOnly,ETTh2,336,0.5889265537261963,,1,0.553624153137207,
BERTOnly,ETTm2,96,0.22069071233272552,,1,0.2792532444000244,
BERTOnly,ETTm2,192,0.3558296859264374,,1,0.3335564136505127,
BERTOnly,ETTm2,336,0.3516416549682617,,1,0.3691440522670746,
BERTOnly,Illness,96,0.1480388194322586,,1,0.2055688500404358,
BERTOnly,Weather,192,0.1975013017654419,,1,0.26578545570373535,
BERTOnly,Weather,336,0.2466653287410736,,1,0.2935958206653595,
DLinear,ETTh1,96,0.3752487599849701,,1,0.39878544211387634,
DLinear,ETTh1,192,0.41113802790641785,,1,0.4230816662311554,
DLinear,ETTh1,336,0.4341001957654953,0.00100012364173926,2,0.43856897950172424,0.0020442485933238933
DLinear,ETTh2,96,0.30639713009198505,0.0033346558770184684,3,0.369316707054774,0.0029478428806262464
DLinear,ETTh2,192,0.3928197423617045,0.009420525817251987,3,0.42458415031433105,0.006766461214521671
DLinear,ETTh2,336,0.49097780883312225,0.0034347784928195645,2,0.4869997501373291,0.0022958231320854196
DLinear,ETTm1,96,0.2994416356086731,,1,0.34317857027053833,
DLinear,ETTm1,192,0.3344587981700897,,1,0.36490657925605774,
DLinear,ETTm1,336,0.3706995099782944,0.0017292641209777266,2,0.3870653957128525,0.001645181158198493
DLinear,ETTm2,96,0.16880511740843454,0.0005194357439252611,3,0.26506630579630536,0.0006477244792288622
DLinear,ETTm2,192,0.23471514135599136,0.0016530563722265443,4,0.31504929810762405,0.0015469298696609425
DLinear,ETTm2,336,0.31090547144412994,0.009120641238030235,2,0.3716411888599396,0.00804768784206415
DLinear,Exchange,96,0.09821125864982605,,1,0.23211584985256195,
DLinear,Exchange,192,0.1866598129272461,,1,0.3224077522754669,
DLinear,Exchange,336,0.3735130727291107,0.007295430695077863,3,0.4685964286327362,0.005285751651816637
DLinear,Illness,24,3.2209428946177163,0.012428491302760976,3,1.2716074387232463,0.0009399083655898196
DLinear,Illness,96,0.1741696149110794,,1,0.2345365285873413,
DLinear,Illness,192,3.373767614364624,,1,1.2903622388839722,
DLinear,Illness,336,3.373767614364624,,1,1.2903622388839722,
DLinear,Weather,96,0.1744210124015808,,1,0.23563562333583832,
DLinear,Weather,192,0.2175749639670054,0.0022663607003464755,3,0.277329554160436,0.004803269317184694
DLinear,Weather,336,0.2624635547399521,0.0012091720103532943,2,0.3132849484682083,0.0008973274782211894
Informer,ETTh1,96,0.9643483757972717,,1,0.7803738117218018,
Informer,ETTh2,192,5.8649702072143555,,1,2.0535264015197754,
Informer,ETTm1,96,0.6328575611114502,,1,0.5655583143234253,
Informer,ETTm2,192,0.8214552998542786,,1,0.7264002561569214,
Informer,Illness,24,5.07952356338501,,1,1.5401110649108887,
Informer,Illness,96,0.8776522278785706,,1,0.7671517729759216,
Informer,Weather,192,0.41508984565734863,,1,0.44574084877967834,
PatchFusionBERT_v0,ETTh2,96,0.30538833141326904,,1,0.3523827791213989,
PatchFusionBERT_v0,ETTh2,192,0.3712124526500702,0.0048916001532053706,4,0.39903678745031357,0.0025187965709789727
PatchFusionBERT_v0,ETTh2,336,0.3814277946949005,,1,0.41385334730148315,
PatchFusionBERT_v0,ETTm2,96,0.1679251790046692,,1,0.25711220502853394,
PatchFusionBERT_v0,ETTm2,192,0.23106987178325653,0.004986293759249813,5,0.29830423593521116,0.0019511097925377849
PatchFusionBERT_v0,ETTm2,336,0.273871511220932,,1,0.32909080386161804,
PatchFusionBERT_v0,Illness,24,2.0605815251668296,0.16918159980372263,3,0.9188131292661031,0.0647222062271483
PatchFusionBERT_v0,Illness,96,0.14977960288524628,,1,0.1972322165966034,
PatchFusionBERT_v0,Weather,192,0.19418048486113548,0.00105240634633577,4,0.2403266355395317,0.0023347633379380843
PatchFusionBERT_v0,Weather,336,0.2517067492008209,,1,0.2838646173477173,
PatchFusionBERT_v2,ETTh1,96,0.3862752318382263,,1,0.40525537729263306,
PatchFusionBERT_v2,ETTh1,192,0.41984885931015015,,1,0.42661020159721375,
PatchFusionBERT_v2,ETTh1,336,0.4410969614982605,,1,0.4404427409172058,
PatchFusionBERT_v2,ETTm1,96,0.29843229055404663,,1,0.3466307818889618,
PatchFusionBERT_v2,ETTm1,192,0.33255892992019653,,1,0.36900731921195984,
