Model,Rank,MSE,Params_M,Training_hrs,Inference_ms,Cost_Score,Value_Score
BERTOnly,1,0.311931,2.1,45.0,12.5,0.670200181172631,0.22230004138753487
PatchFusionBERT_v0,3,0.438714,3.5,52.0,15.2,0.8762743258287676,0.23912608476734878
PatchTST,2,0.375361,2.7,42.0,11.8,0.6882518137519428,0.26048776520702493
TimeXer,5,0.648699,4.1,57.99999999999999,17.3,1.0,0.30983378707551223
PatchFusionBERT_v2,7,0.743645,3.8,55.00000000000001,16.0,0.9333202072303761,0.3805577234426201
Autoformer,8,0.789212,3.0,50.0,14.8,0.816422537356727,0.4617046432165165
iTransformer,9,0.809396,3.2,48.0,14.5,0.8154081002639805,0.47410177286606126
TiDE,4,0.621725,1.8,35.0,8.5,0.5112673819582526,0.5808122822092612
Transformer,10,1.623782,2.5,40.0,12.0,0.6643509628239596,1.167389280343666
Informer,11,2.0937,2.8,46.0,13.5,0.7521256994511344,1.3295649925667379
DLinear,6,0.708418,0.05,8.0,2.1,0.09050447989032413,3.7385660477691505
