model,repeat,gpu_name,params,latency_mean_ms,latency_median_ms,latency_std_ms_within_repeat,throughput_samples_per_sec,peak_gpu_memory_mb
DLinear,1,NVIDIA GeForce RTX 2080 Ti,129408,0.3463,0.3391,0.0156,23104.1593,9.99
DLinear,2,NVIDIA GeForce RTX 2080 Ti,129408,0.3358,0.3348,0.0052,23820.8671,9.99
DLinear,3,NVIDIA GeForce RTX 2080 Ti,129408,0.3346,0.3335,0.0049,23905.7158,9.99
PatchTST,1,NVIDIA GeForce RTX 2080 Ti,1629504,3.767,3.7643,0.0136,2123.6844,62.05
PatchTST,2,NVIDIA GeForce RTX 2080 Ti,1629504,3.3583,3.252,0.2177,2382.1236,62.05
PatchTST,3,NVIDIA GeForce RTX 2080 Ti,1629504,3.2285,3.2253,0.0137,2477.911,62.05
PatchTST_capacity,1,NVIDIA GeForce RTX 2080 Ti,3283456,6.6426,6.6351,0.039,1204.3506,192.64
PatchTST_capacity,2,NVIDIA GeForce RTX 2080 Ti,3283456,6.6781,6.6401,0.1443,1197.9531,192.64
PatchTST_capacity,3,NVIDIA GeForce RTX 2080 Ti,3283456,6.7785,6.7098,0.1409,1180.1972,192.64
PFB-Direct,1,NVIDIA GeForce RTX 2080 Ti,3256768,5.8528,5.8533,0.025,1366.8648,71.71
PFB-Direct,2,NVIDIA GeForce RTX 2080 Ti,3256768,5.8997,5.8779,0.112,1355.9975,71.71
PFB-Direct,3,NVIDIA GeForce RTX 2080 Ti,3256768,5.8756,5.8723,0.0239,1361.5649,71.71
PFB-Projected,1,NVIDIA GeForce RTX 2080 Ti,2456000,6.7822,6.748,0.13,1179.559,68.65
PFB-Projected,2,NVIDIA GeForce RTX 2080 Ti,2456000,6.7469,6.7338,0.0351,1185.7248,68.65
PFB-Projected,3,NVIDIA GeForce RTX 2080 Ti,2456000,6.7602,6.7533,0.0325,1183.3962,68.65
