dataset,horizon,model,step,per_step_mse,n_seeds
Weather,192,DLinear,1,0.036677077412605286,5
Weather,192,DLinear,2,0.050962138921022415,5
Weather,192,DLinear,3,0.06089894846081734,5
Weather,192,DLinear,4,0.0683562383055687,5
Weather,192,DLinear,5,0.07470645010471344,5
Weather,192,DLinear,6,0.08069237321615219,5
Weather,192,DLinear,7,0.08586229383945465,5
Weather,192,DLinear,8,0.09090448915958405,5
Weather,192,DLinear,9,0.09635572135448456,5
Weather,192,DLinear,10,0.10092397034168243,5
Weather,192,DLinear,11,0.10570861399173737,5
Weather,192,DLinear,12,0.10996804386377335,5
Weather,192,DLinear,13,0.1139201670885086,5
Weather,192,DLinear,14,0.11756546795368195,5
Weather,192,DLinear,15,0.12089012563228607,5
Weather,192,DLinear,16,0.12443701177835464,5
Weather,192,DLinear,17,0.12786510586738586,5
Weather,192,DLinear,18,0.13123244047164917,5
Weather,192,DLinear,19,0.13418063521385193,5
Weather,192,DLinear,20,0.1370646208524704,5
Weather,192,DLinear,21,0.13962963223457336,5
Weather,192,DLinear,22,0.14224250614643097,5
Weather,192,DLinear,23,0.14493557810783386,5
Weather,192,DLinear,24,0.14729535579681396,5
Weather,192,DLinear,25,0.14994968473911285,5
Weather,192,DLinear,26,0.15256449580192566,5
Weather,192,DLinear,27,0.15500110387802124,5
Weather,192,DLinear,28,0.1578468233346939,5
Weather,192,DLinear,29,0.16052129864692688,5
Weather,192,DLinear,30,0.1626644879579544,5
Weather,192,DLinear,31,0.16467109322547913,5
Weather,192,DLinear,32,0.16644194722175598,5
Weather,192,DLinear,33,0.16829854249954224,5
Weather,192,DLinear,34,0.17013245820999146,5
Weather,192,DLinear,35,0.17147476971149445,5
Weather,192,DLinear,36,0.1732463538646698,5
Weather,192,DLinear,37,0.17505019903182983,5
Weather,192,DLinear,38,0.1768045425415039,5
Weather,192,DLinear,39,0.17802192270755768,5
Weather,192,DLinear,40,0.1797839105129242,5
Weather,192,DLinear,41,0.18117383122444153,5
Weather,192,DLinear,42,0.1827617585659027,5
Weather,192,DLinear,43,0.18437454104423523,5
Weather,192,DLinear,44,0.18601147830486298,5
Weather,192,DLinear,45,0.18718242645263672,5
Weather,192,DLinear,46,0.18865041434764862,5
Weather,192,DLinear,47,0.18958356976509094,5
Weather,192,DLinear,48,0.19116827845573425,5
Weather,192,DLinear,49,0.19254863262176514,5
Weather,192,DLinear,50,0.1941545307636261,5
Weather,192,DLinear,51,0.19563935697078705,5
Weather,192,DLinear,52,0.19687341153621674,5
Weather,192,DLinear,53,0.1982806921005249,5
Weather,192,DLinear,54,0.19949468970298767,5
Weather,192,DLinear,55,0.20005862414836884,5
Weather,192,DLinear,56,0.2010696828365326,5
Weather,192,DLinear,57,0.20214197039604187,5
Weather,192,DLinear,58,0.20321901142597198,5
Weather,192,DLinear,59,0.20443138480186462,5
Weather,192,DLinear,60,0.2052040994167328,5
Weather,192,DLinear,61,0.2058113068342209,5
Weather,192,DLinear,62,0.206791952252388,5
Weather,192,DLinear,63,0.20756657421588898,5
Weather,192,DLinear,64,0.20828965306282043,5
Weather,192,DLinear,65,0.20948278903961182,5
Weather,192,DLinear,66,0.20983195304870605,5
Weather,192,DLinear,67,0.21039119362831116,5
Weather,192,DLinear,68,0.211113840341568,5
Weather,192,DLinear,69,0.21168740093708038,5
Weather,192,DLinear,70,0.21296584606170654,5
Weather,192,DLinear,71,0.21393224596977234,5
Weather,192,DLinear,72,0.21436181664466858,5
Weather,192,DLinear,73,0.21520602703094482,5
Weather,192,DLinear,74,0.21562013030052185,5
Weather,192,DLinear,75,0.2155410796403885,5
Weather,192,DLinear,76,0.2165261209011078,5
Weather,192,DLinear,77,0.2170998603105545,5
Weather,192,DLinear,78,0.21767906844615936,5
Weather,192,DLinear,79,0.21830978989601135,5
Weather,192,DLinear,80,0.21888761222362518,5
