Horizon,Model,MSE_mean,MSE_std,MAE_mean,MAE_std,Runs
24,PFB-Direct,2.0605815251668296,0.16918159980372263,0.9188131292661031,0.0647222062271483,3
24,PFB-Projected,2.199843486150106,0.14777649277499172,0.9817664424578348,0.05966426907708193,3
24,PatchTST_base,2.075850168863932,0.1324155419519754,0.9474466840426127,0.07144297217214253,3
24,PatchTST_capacity,1.8992176055908203,0.02078073508163011,0.8622092803319296,0.007928126757046435,3
48,PFB-Direct,1.9111010233561199,0.024385707063687086,0.8977454503377279,0.007423497674883346,3
48,PFB-Projected,2.057701667149862,0.061014651603934204,0.9404029250144958,0.018033756201913935,3
48,PatchTST_base,2.0784149169921875,0.15411984144652993,0.9661733110745748,0.06438675403427513,3
48,PatchTST_capacity,1.8916056156158447,0.0034398213680148725,0.8862458070119222,0.0041963733234655215,3
60,PFB-Direct,2.0358272790908813,0.07086196541319305,0.9589325586954752,0.04183817611882157,3
60,PFB-Projected,2.071877876917521,0.016448913678188314,0.9522191087404887,0.005118430257840735,3
60,PatchTST_base,2.000195542971293,0.019306377467691937,0.9283037583033243,0.0037028331450560544,3
60,PatchTST_capacity,2.0971964995066323,0.09869712903884557,0.9648095766703287,0.043424360394535,3
