dataset,horizon,comparison,model_a,model_b,metric,n_pairs,n_nonzero,statistic,p_value,mean_diff,median_diff,rank_biserial,winner,significant,p_holm,p_fdr_bh,significant_holm,significant_fdr_bh
ETTh1,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,1.0,0.125,-0.0125659644603729,-0.0148138999938964,-0.8666666666666667,PatchFusionBERT_v0,No,1.0,0.214286,No,No
ETTh1,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,2.0,0.1875,-0.006350153684616,-0.0066052973270416,-0.7333333333333333,PatchFusionBERT_v0,No,1.0,0.287234,No,No
ETTh1,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,6.0,0.8125,-0.002981561422348,0.001039981842041,-0.2,PatchFusionBERT_v0,No,1.0,0.873134,No,No
ETTh1,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,7.0,1.0,-0.0010664582252502,0.0013869404792785,-0.0666666666666666,PatchFusionBERT_v0,No,1.0,1.0,No,No
ETTh1,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MSE,5,5,1.0,0.125,0.0122052311897277,0.01156747341156,0.8666666666666667,DLinear,No,1.0,0.214286,No,No
ETTh1,192,PatchFusionBERT_v0 vs DLinear,PatchFusionBERT_v0,DLinear,MAE,5,5,0.0,0.0625,0.011475259065628,0.0110298693180084,1.0,DLinear,No,1.0,0.140625,No,No
ETTh1,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MSE,5,5,0.0,0.0625,-0.0095844030380249,-0.0113277435302734,-1.0,PatchFusionBERT_v2,No,1.0,0.140625,No,No
ETTh1,192,PatchFusionBERT_v2 vs PatchTST,PatchFusionBERT_v2,PatchTST,MAE,5,5,1.0,0.125,-0.0052836954593658,-0.0076952278614044,-0.8666666666666667,PatchFusionBERT_v2,No,1.0,0.214286,No,No
ETTh2,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MSE,5,5,1.0,0.125,-0.0083702325820922,-0.0118752419948577,-0.8666666666666667,PatchFusionBERT_v0,No,1.0,0.214286,No,No
ETTh2,192,PatchFusionBERT_v0 vs PatchTST,PatchFusionBERT_v0,PatchTST,MAE,5,5,0.0,0.0625,-0.010451054573059,-0.0083186030387878,-1.0,PatchFusionBERT_v0,No,1.0,0.140625,No,No
ETTh2,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MSE,5,5,6.0,0.8125,0.0041007399559021,0.0060465633869171,0.2,PatchFusionBERT_v2,No,1.0,0.873134,No,No
ETTh2,192,PatchFusionBERT_v0 vs PatchFusionBERT_v2,PatchFusionBERT_v0,PatchFusionBERT_v2,MAE,5,5,5.0,0.625,0.0016872882843017,0.0016238689422607,0.3333333333333333,PatchFusionBERT_v2,No,1.0,0.737705,No,No
