model,dataset,horizon,seed_count,expected_seed_count,present_seeds,mse_mean,mse_std,mae_mean,mae_std
PatchFusionBERT_v0,ETTm1,192,5,5,"2021,2022,2023,2024,2025",0.3395116448402405,0.0023082141247539045,0.3743286311626434,0.001845832404371827
PatchFusionBERT_v2,ETTm1,192,5,5,"2021,2022,2023,2024,2025",0.34032177925109863,0.0071644516986999725,0.37531821727752684,0.005590128788660614
PatchTST,ETTm1,192,5,5,"2021,2022,2023,2024,2025",0.33639429211616517,0.004144119916086577,0.3752593517303467,0.0019508402028274835
DLinear,ETTm1,192,5,5,"2021,2022,2023,2024,2025",0.33513895869255067,0.0020031929555486714,0.36581791639328004,0.0032095611550370827
PatchFusionBERT_v0,ETTm2,192,5,5,"2021,2022,2023,2024,2025",0.2286747634410858,0.004158520689399182,0.2974971830844879,0.0022566260506186177
PatchFusionBERT_v2,ETTm2,192,5,5,"2021,2022,2023,2024,2025",0.23231662809848785,0.0031128435650627133,0.29859398007392884,0.002426834353633138
PatchTST,ETTm2,192,5,5,"2021,2022,2023,2024,2025",0.23698850870132446,0.005452111289651454,0.3069733202457428,0.0037002186253352284
DLinear,ETTm2,192,5,5,"2021,2022,2023,2024,2025",0.23078508973121642,0.005139599878579114,0.3103679656982422,0.006522127740049301
PatchFusionBERT_v0,ETTh1,192,5,5,"2021,2022,2023,2024,2025",0.41956276893615724,0.010053336251276005,0.42969574928283694,0.006505084861252783
PatchFusionBERT_v2,ETTh1,192,5,5,"2021,2022,2023,2024,2025",0.42254433035850525,0.007101599036942187,0.43076220750808714,0.006603084035275862
PatchTST,ETTh1,192,5,5,"2021,2022,2023,2024,2025",0.43212873339653013,0.0014452860007103465,0.436045902967453,0.004698518848924702
DLinear,ETTh1,192,5,5,"2021,2022,2023,2024,2025",0.40735753774642947,0.002283209323834185,0.41822049021720886,0.0029438116243495735
PatchFusionBERT_v0,ETTh2,192,5,5,"2021,2022,2023,2024,2025",0.37403069734573363,0.008272819174384126,0.3979611337184906,0.0027551939235101763
PatchFusionBERT_v2,ETTh2,192,5,5,"2021,2022,2023,2024,2025",0.36992995738983153,0.006514204523306889,0.39627384543418886,0.003246354105213287
PatchTST,ETTh2,192,5,5,"2021,2022,2023,2024,2025",0.3824009299278259,0.007051286414186907,0.4084121882915497,0.0030156822793974197
DLinear,ETTh2,192,5,5,"2021,2022,2023,2024,2025",0.39454777240753175,0.007156373686834626,0.4259213149547577,0.005179452405831306
PatchFusionBERT_v0,Exchange,192,5,5,"2021,2022,2023,2024,2025",0.22440648972988128,0.008363204036198477,0.33948822021484376,0.008741470972730366
PatchFusionBERT_v2,Exchange,192,5,5,"2021,2022,2023,2024,2025",0.2011403203010559,0.013272271044624633,0.32170326709747316,0.010867258438797078
PatchTST,Exchange,192,5,5,"2021,2022,2023,2024,2025",0.19211438596248626,0.005232109181467148,0.31800689101219176,0.004989619786541004
DLinear,Exchange,192,5,5,"2021,2022,2023,2024,2025",0.1779092878103256,0.005554188508713964,0.31603480577468873,0.004614161479390135
PatchFusionBERT_v0,Weather,192,5,5,"2021,2022,2023,2024,2025",0.19643583595752717,0.0018690412927272668,0.24291289746761321,0.0022143482710707137
PatchFusionBERT_v2,Weather,192,5,5,"2021,2022,2023,2024,2025",0.1940605640411377,0.0013876116113222493,0.24088201820850372,0.001391629536270189
PatchTST,Weather,192,5,5,"2021,2022,2023,2024,2025",0.19764987528324127,0.001552121156975187,0.24403600990772248,0.0016920813197621744
DLinear,Weather,192,5,5,"2021,2022,2023,2024,2025",0.21677675247192382,0.001994926942502173,0.2757250964641571,0.00423381274094576
PatchFusionBERT_v0,Illness,24,5,5,"2021,2022,2023,2024,2025",2.0422122955322264,0.13022343927847926,0.9146173238754273,0.052512973900966244
PatchFusionBERT_v2,Illness,24,5,5,"2021,2022,2023,2024,2025",2.1649220466613768,0.11588561203918872,0.9708668112754821,0.046947334413530405
PatchTST,Illness,24,5,5,"2021,2022,2023,2024,2025",2.1236215591430665,0.13893070214145975,0.9639713883399963,0.07049249042686077
DLinear,Illness,24,5,5,"2021,2022,2023,2024,2025",2.716232490539551,0.5102320584777967,1.167914581298828,0.11774793618015333
PatchFusionBERT_v0,Illness,48,5,5,"2021,2022,2023,2024,2025",1.9117115497589112,0.018289101931393544,0.8969138145446778,0.0066173340113910625
PatchFusionBERT_v2,Illness,48,5,5,"2021,2022,2023,2024,2025",2.0431506633758545,0.04882126704097685,0.9338925123214722,0.015587161413358265
PatchTST,Illness,48,5,5,"2021,2022,2023,2024,2025",2.067438316345215,0.12973824132293246,0.9601447582244873,0.056941838709171286
DLinear,Illness,48,5,5,"2021,2022,2023,2024,2025",2.7254220962524416,0.5866992542417945,1.1615830659866333,0.11252015741457348
PatchFusionBERT_v0,Illness,60,5,5,"2021,2022,2023,2024,2025",2.019081711769104,0.05515321950701456,0.9470226168632507,0.03382387515058867
PatchFusionBERT_v2,Illness,60,5,5,"2021,2022,2023,2024,2025",2.0630987167358397,0.033903547119255854,0.9478220701217651,0.011847988448523972
PatchTST,Illness,60,5,5,"2021,2022,2023,2024,2025",2.0715274095535277,0.09938275016671945,0.9660233497619629,0.05201474730907062
DLinear,Illness,60,5,5,"2021,2022,2023,2024,2025",2.8996240139007567,0.6420999024553075,1.201738142967224,0.11162632124739111
