dataset,horizon,model,seed,mse,mae
ETTm1,96,PatchFusionBERT_v0,2021,0.30370619893074036,0.34789031744003296
ETTm1,96,PatchFusionBERT_v2,2021,0.29843229055404663,0.3466307818889618
ETTm1,96,PatchTST,2021,0.2981731593608856,0.3489706814289093
ETTm1,96,DLinear,2021,0.3003472685813904,0.3448158800601959
ETTm2,96,PatchFusionBERT_v0,2021,0.1679251790046692,0.25711220502853394
ETTm2,96,PatchFusionBERT_v2,2021,0.1695358157157898,0.25669148564338684
ETTm2,96,PatchTST,2021,0.17282205820083618,0.2640388607978821
ETTm2,96,DLinear,2021,0.16528131067752838,0.2573530673980713
ETTh1,96,PatchFusionBERT_v0,2021,0.36754170060157776,0.3951941430568695
ETTh1,96,PatchFusionBERT_v2,2021,0.3862752318382263,0.40525537729263306
ETTh1,96,PatchTST,2021,0.3813759386539459,0.4063098430633545
ETTh1,96,DLinear,2021,0.37115657329559326,0.39274832606315613
ETTh2,96,PatchFusionBERT_v0,2021,0.30538833141326904,0.3523827791213989
ETTh2,96,PatchFusionBERT_v2,2021,0.2893078029155731,0.34741267561912537
ETTh2,96,PatchTST,2021,0.3145037591457367,0.3646617531776428
ETTh2,96,DLinear,2021,0.2835879325866699,0.3472675085067749
Exchange,96,PatchFusionBERT_v0,2021,0.0961424708366394,0.21781837940216064
Exchange,96,PatchFusionBERT_v2,2021,0.09677010029554367,0.21803997457027435
Exchange,96,PatchTST,2021,0.09531733393669128,0.21947354078292847
Exchange,96,DLinear,2021,0.08494987338781357,0.2052217274904251
Weather,96,PatchFusionBERT_v0,2021,0.14977960288524628,0.1972322165966034
Weather,96,PatchFusionBERT_v2,2021,0.14963778853416443,0.19795450568199158
Weather,96,PatchTST,2021,0.1517603099346161,0.2024952471256256
Weather,96,DLinear,2021,0.17818108201026917,0.24319998919963837
ETTm1,96,PatchFusionBERT_v0,2022,0.3002203702926636,0.345537930727005
ETTm1,96,PatchFusionBERT_v2,2022,0.2967977821826935,0.34547123312950134
ETTm1,96,PatchTST,2022,0.2988854944705963,0.35045039653778076
ETTm1,96,DLinear,2022,0.2994614541530609,0.34337154030799866
ETTm2,96,PatchFusionBERT_v0,2022,0.17607954144477844,0.25880908966064453
ETTm2,96,PatchFusionBERT_v2,2022,0.17554394900798798,0.2595280408859253
ETTm2,96,PatchTST,2022,0.18616320192813873,0.2741563022136688
ETTm2,96,DLinear,2022,0.1661120504140854,0.26026204228401184
ETTh1,96,PatchFusionBERT_v0,2022,0.37543728947639465,0.40146344900131226
ETTh1,96,PatchFusionBERT_v2,2022,0.38491371273994446,0.40949681401252747
ETTh1,96,PatchTST,2022,0.3783031702041626,0.4060007929801941
ETTh1,96,DLinear,2022,0.37647801637649536,0.3997102677822113
ETTh2,96,PatchFusionBERT_v0,2022,0.29594284296035767,0.350149542093277
ETTh2,96,PatchFusionBERT_v2,2022,0.288994163274765,0.34728923439979553
ETTh2,96,PatchTST,2022,0.3216198980808258,0.36678996682167053
ETTh2,96,DLinear,2022,0.2884407341480255,0.3521300256252289
Exchange,96,PatchFusionBERT_v0,2022,0.09147201478481293,0.21399159729480743
Exchange,96,PatchFusionBERT_v2,2022,0.09040892124176025,0.21142148971557617
Exchange,96,PatchTST,2022,0.08947724103927612,0.21363386511802673
Exchange,96,DLinear,2022,0.09845932573080063,0.22908610105514526
Weather,96,PatchFusionBERT_v0,2022,0.14844371378421783,0.19898471236228943
Weather,96,PatchFusionBERT_v2,2022,0.14885058999061584,0.1960856318473816
Weather,96,PatchTST,2022,0.15165448188781738,0.20030128955841064
Weather,96,DLinear,2022,0.17359036207199097,0.23311004042625427
ETTm1,96,PatchFusionBERT_v0,2023,0.296312153339386,0.3434390425682068
ETTm1,96,PatchFusionBERT_v2,2023,0.3057713806629181,0.3506197929382324
ETTm1,96,PatchTST,2023,0.2976699769496918,0.34876397252082825
ETTm1,96,DLinear,2023,0.3032383918762207,0.3501911759376526
ETTm2,96,PatchFusionBERT_v0,2023,0.1682271659374237,0.2555568814277649
ETTm2,96,PatchFusionBERT_v2,2023,0.17010580003261566,0.2566450834274292
ETTm2,96,PatchTST,2023,0.17186608910560608,0.2632003426551819
ETTm2,96,DLinear,2023,0.16525167226791382,0.2555376887321472
ETTh1,96,PatchFusionBERT_v0,2023,0.36807963252067566,0.39590001106262207
ETTh1,96,PatchFusionBERT_v2,2023,0.38196027278900146,0.40513086318969727
ETTh1,96,PatchTST,2023,0.37686753273010254,0.40298405289649963
ETTh1,96,DLinear,2023,0.37212324142456055,0.3942606449127197
ETTh2,96,PatchFusionBERT_v0,2023,0.30067873001098633,0.3550412654876709
ETTh2,96,PatchFusionBERT_v2,2023,0.313186913728714,0.3544023931026459
ETTh2,96,PatchTST,2023,0.3177104592323303,0.3660043776035309
ETTh2,96,DLinear,2023,0.2956484854221344,0.3576694130897522
Exchange,96,PatchFusionBERT_v0,2023,0.1023644283413887,0.22591282427310944
Exchange,96,PatchFusionBERT_v2,2023,0.08529150485992432,0.20680363476276398
Exchange,96,PatchTST,2023,0.09569809585809708,0.2197439968585968
Exchange,96,DLinear,2023,0.08939831703901291,0.21039237082004547
