horizon,comparison,metric,n_pairs,n_nonzero,statistic,p_value,mean_diff,rank_biserial,winner,p_holm,p_fdr_bh,significant_holm,significant_fdr_bh
96,PatchFusionBERT_v0 vs PatchTST,MSE,30,30,108.0,0.009301122277975082,-0.0035999315480391195,0.5354838709677419,PatchFusionBERT_v0,0.055806733667850494,0.024802992741266888,No,Yes
96,PatchFusionBERT_v0 vs PatchFusionBERT_v2,MSE,30,30,199.0,0.5027610473334789,-0.0011004785696665487,0.1440860215053763,PatchFusionBERT_v0,1.0,0.6200319294418607,No,No
96,PatchFusionBERT_v0 vs DLinear,MSE,30,30,202.0,0.5425279382616282,0.0004152044653892443,0.13118279569892477,DLinear,1.0,0.6200319294418607,No,No
96,PatchFusionBERT_v2 vs PatchTST,MSE,30,30,176.0,0.25343610532581806,-0.0024994529783725706,0.24301075268817207,PatchFusionBERT_v2,1.0,0.5068722106516361,No,No
96,PatchFusionBERT_v0 vs PatchTST,MAE,30,30,46.0,3.453157842159271e-05,-0.005173479517300921,0.8021505376344086,PatchFusionBERT_v0,0.0002762526273727417,0.0002762526273727417,Yes,Yes
96,PatchFusionBERT_v0 vs PatchFusionBERT_v2,MAE,30,30,230.0,0.9676735773682594,-0.00028207351764041136,0.010752688172043001,PatchFusionBERT_v0,1.0,0.9676735773682594,No,No
96,PatchFusionBERT_v0 vs DLinear,MAE,30,30,200.0,0.5158484429121017,-0.004078543186187739,0.13978494623655913,PatchFusionBERT_v0,1.0,0.6200319294418607,No,No
96,PatchFusionBERT_v2 vs PatchTST,MAE,30,30,58.0,0.00013739429414272308,-0.0048914059996605095,0.7505376344086021,PatchFusionBERT_v2,0.0009617600589990616,0.0005495771765708923,Yes,Yes
336,PatchFusionBERT_v0 vs PatchTST,MSE,30,30,88.0,0.0021877754479646683,-0.008922121922175093,0.6215053763440861,PatchFusionBERT_v0,0.015314428135752678,0.008751101791858673,Yes,Yes
336,PatchFusionBERT_v0 vs PatchFusionBERT_v2,MSE,30,30,199.0,0.5027610473334789,0.00015728076299032222,0.1440860215053763,PatchFusionBERT_v2,1.0,0.5745840540954045,No,No
336,PatchFusionBERT_v0 vs DLinear,MSE,30,30,123.0,0.023410143330693245,-0.01698507418235142,0.47096774193548385,PatchFusionBERT_v0,0.07023042999207973,0.031213524440924328,No,Yes
336,PatchFusionBERT_v2 vs PatchTST,MSE,30,30,114.0,0.013663241639733315,-0.009079402685165416,0.5096774193548388,PatchFusionBERT_v2,0.05465296655893326,0.021861186623573302,No,Yes
336,PatchFusionBERT_v0 vs PatchTST,MAE,30,30,72.0,0.0005548261106014252,-0.006359810630480454,0.6903225806451613,PatchFusionBERT_v0,0.004438608884811401,0.004438608884811401,Yes,Yes
336,PatchFusionBERT_v0 vs PatchFusionBERT_v2,MAE,30,30,228.0,0.935398668050766,0.0007806102434794108,0.01935483870967747,PatchFusionBERT_v2,1.0,0.935398668050766,No,No
336,PatchFusionBERT_v0 vs DLinear,MAE,30,30,98.0,0.00466480478644371,-0.01962870359420777,0.578494623655914,PatchFusionBERT_v0,0.027988828718662262,0.012439479430516561,Yes,Yes
336,PatchFusionBERT_v2 vs PatchTST,MAE,30,30,108.0,0.009301122277975082,-0.007140420873959865,0.5354838709677419,PatchFusionBERT_v2,0.04650561138987541,0.018602244555950165,Yes,Yes
