dataset,horizon,model,seeds,mse,mae,mse_mean,mae_mean,mse_std,mae_std,status
ETTm1,96,PFB-Direct,5,0.2999±0.0027,0.3464±0.0023,0.29987958669662473,0.3463661789894104,0.0027011317137830317,0.0022571850189782128,COMPLETE
ETTm1,96,PFB-Projected,5,0.3023±0.0044,0.3472±0.0020,0.30227531790733336,0.34717260003089906,0.0043773972759188935,0.0020145891562111926,COMPLETE
ETTm1,96,PatchTST,5,0.2980±0.0005,0.3496±0.0007,0.2980455160140991,0.3496373355388641,0.0005385700986418536,0.000735823072396097,COMPLETE
ETTm1,96,DLinear,5,0.3009±0.0014,0.3463±0.0026,0.30089056491851807,0.3462728917598724,0.0014186269257780684,0.0025889771090171374,COMPLETE
ETTm2,96,PFB-Direct,5,0.1713±0.0037,0.2574±0.0014,0.1713336557149887,0.2573908865451813,0.0037171854714916916,0.001439685623973515,COMPLETE
ETTm2,96,PFB-Projected,5,0.1717±0.0034,0.2578±0.0015,0.1716961681842804,0.25783538818359375,0.003366846512461085,0.001506056836267202,COMPLETE
ETTm2,96,PatchTST,5,0.1768±0.0061,0.2657±0.0048,0.17683296799659728,0.2657243967056274,0.006120993555676605,0.0047547793195717,COMPLETE
ETTm2,96,DLinear,5,0.1658±0.0005,0.2580±0.0018,0.16575800776481628,0.25802152752876284,0.0004968647168717056,0.0017707438787889912,COMPLETE
ETTh1,96,PFB-Direct,5,0.3722±0.0041,0.3991±0.0037,0.3721944987773895,0.39912323355674745,0.004063326551997069,0.0037185419895871623,COMPLETE
ETTh1,96,PFB-Projected,5,0.3838±0.0024,0.4057±0.0026,0.3837678015232086,0.40566215515136717,0.0024201960440248804,0.002621779658225367,COMPLETE
ETTh1,96,PatchTST,5,0.3809±0.0037,0.4068±0.0027,0.380888557434082,0.4068398416042328,0.003673922610386597,0.0027161777999114424,COMPLETE
ETTh1,96,DLinear,5,0.3739±0.0038,0.3959±0.0042,0.37391552329063416,0.3959058284759521,0.003797297005816887,0.00415815776484615,COMPLETE
ETTh2,96,PFB-Direct,5,0.3045±0.0080,0.3533±0.0033,0.3045243799686432,0.35325499176979064,0.007952660410016986,0.003314251896816182,COMPLETE
ETTh2,96,PFB-Projected,5,0.2996±0.0120,0.3509±0.0046,0.29964097738265993,0.35088764429092406,0.011996138152874394,0.004560715918339185,COMPLETE
ETTh2,96,PatchTST,5,0.3161±0.0038,0.3647±0.0028,0.316098290681839,0.36465224623680115,0.0038348531394786396,0.0028156072106820186,COMPLETE
ETTh2,96,DLinear,5,0.2918±0.0057,0.3548±0.0051,0.2918063819408417,0.3548177361488342,0.005694511828823398,0.005124963075009159,COMPLETE
Exchange,96,PFB-Direct,5,0.0982±0.0084,0.2208±0.0097,0.0982389509677887,0.2208285540342331,0.008432352174845678,0.009659032087353562,COMPLETE
Exchange,96,PFB-Projected,5,0.0954±0.0111,0.2171±0.0127,0.09539221525192261,0.21709463000297546,0.01111744620121464,0.012685042864212159,COMPLETE
Exchange,96,PatchTST,5,0.0944±0.0035,0.2193±0.0037,0.09438001066446304,0.2193176865577698,0.003477324320377057,0.003697591193183386,COMPLETE
Exchange,96,DLinear,5,0.0862±0.0081,0.2091±0.0119,0.0862420678138733,0.2090856611728668,0.008063470827265684,0.011933980704181028,COMPLETE
Weather,96,PFB-Direct,5,0.1496±0.0013,0.1983±0.0019,0.1495562195777893,0.19825975596904755,0.0013294271561631258,0.0018907251176788213,COMPLETE
Weather,96,PFB-Projected,5,0.1496±0.0005,0.1983±0.0020,0.14955768287181853,0.19826362431049346,0.0005126100243052933,0.0019856300494011233,COMPLETE
Weather,96,PatchTST,5,0.1511±0.0009,0.2001±0.0020,0.15108153820037842,0.20009297132492065,0.0009369906278765707,0.001950006451832585,COMPLETE
Weather,96,DLinear,5,0.1746±0.0020,0.2356±0.0044,0.1746235191822052,0.23559121489524842,0.0020236696948028573,0.004354596008144611,COMPLETE
ETTm1,336,PFB-Direct,5,0.3741±0.0053,0.3978±0.0028,0.37411207556724546,0.39781330823898314,0.005268732705252235,0.0027830951874840016,COMPLETE
ETTm1,336,PFB-Projected,5,0.3712±0.0026,0.3966±0.0024,0.37121692299842834,0.39658175110816957,0.0026484861724465052,0.002366291817009637,COMPLETE
ETTm1,336,PatchTST,5,0.3741±0.0017,0.3994±0.0023,0.3741163909435272,0.3993923425674438,0.0016827233678088475,0.002253756201361334,COMPLETE
