Seed,Dataset,Horizon,K,MSE,MAE,LineNo,Source
2021,ETTh2,96,1,0.2878458797931671,0.34526389837265015,3139,result_long_term_forecast.txt
2021,ETTh2,96,2,0.31153324246406555,0.3557490408420563,3142,result_long_term_forecast.txt
2021,ETTh2,96,3,0.31150880455970764,0.3542984127998352,3145,result_long_term_forecast.txt
2021,ETTh2,192,1,0.3811385929584503,0.3988150358200073,3148,result_long_term_forecast.txt
2021,ETTh2,192,2,0.35974782705307007,0.39389872550964355,3151,result_long_term_forecast.txt
2021,ETTh2,192,3,0.358674019575119,0.3956712782382965,3154,result_long_term_forecast.txt
2021,ETTh2,336,1,0.38391855359077454,0.41626644134521484,3157,result_long_term_forecast.txt
2021,ETTh2,336,2,0.39578449726104736,0.42338860034942627,3160,result_long_term_forecast.txt
2021,ETTh2,336,3,0.37514054775238037,0.41667866706848145,3163,result_long_term_forecast.txt
2021,Weather,96,1,0.15069173276424408,0.19952435791492462,3166,result_long_term_forecast.txt
2021,Weather,96,2,0.15220065414905548,0.19941028952598572,3169,result_long_term_forecast.txt
2021,Weather,96,3,0.14979936182498932,0.19684629142284393,3172,result_long_term_forecast.txt
2021,Weather,192,1,0.19597382843494415,0.24047152698040009,3175,result_long_term_forecast.txt
2021,Weather,192,2,0.19900767505168915,0.2432737797498703,3178,result_long_term_forecast.txt
2021,Weather,192,3,0.19520564377307892,0.24464096128940582,3181,result_long_term_forecast.txt
2021,Weather,336,1,0.24575771391391754,0.2803243398666382,3184,result_long_term_forecast.txt
2021,Weather,336,2,0.24480567872524261,0.2817441523075104,3187,result_long_term_forecast.txt
2021,Weather,336,3,0.24684253334999084,0.28198525309562683,3190,result_long_term_forecast.txt
