Model,MSE_mean,MSE_std,MAE_mean,MAE_std,Rank,CI_Lower,CI_Upper,CI_Width,vs_BERTOnly_pvalue,Significant_vs_BERTOnly
BERTOnly,0.311931,0.131721,0.344235,0.102838,1,0.2106809424199188,0.4131809929836931,0.2025000505637743,,
PatchTST,0.375361,0.423348,0.370094,0.162187,2,0.1772283729028031,0.5734942159442776,0.3962658430414745,0.0390625,✓
PatchFusionBERT_v0,0.438714,0.575223,0.369002,0.204913,3,0.02722447851907056,0.8502042220571553,0.8229797435380848,0.0390625,✓
TiDE,0.621725,1.086307,0.436021,0.340562,4,-0.15537210009419766,1.3988218029531225,1.5541939030473202,0.078125,✗
TimeXer,0.648699,0.754163,0.469844,0.254453,5,0.14204562236213558,1.1553529610933837,1.0133073387312481,,
DLinear,0.708418,1.068287,0.478386,0.335792,6,0.2347663532982392,1.1820698969364947,0.9473035436382555,0.359375,✗
PatchFusionBERT_v2,0.743645,0.774328,0.509752,0.258891,7,0.25166027270058977,1.2356288964817903,0.9839686237812005,,
Autoformer,0.789212,1.133809,0.523443,0.337154,8,-0.25938711314862994,1.8378106472694622,2.097197760418092,,
iTransformer,0.809396,0.859528,0.544797,0.289989,9,0.2632776166327182,1.3555138965122517,1.0922362798795335,,
Transformer,1.623782,1.667035,0.87113,0.542298,10,-0.12566404716557522,3.373227935794853,3.498891982960428,0.03125,✓
Informer,2.0937,2.32602,0.982695,0.587763,11,-0.05751057576418095,4.244909741735119,4.3024203174993,,
