Model,Dataset,Horizon,Seed,MSE,MAE
Autoformer,ETTh1,96,0,0.4670165479,0.4709823430
Autoformer,ETTh2,96,0,0.3696028590,0.4058757424
Autoformer,ETTm1,96,0,0.5176491141,0.4761564434
Autoformer,ETTm2,96,0,0.2294452041,0.3118225932
Autoformer,custom,24,0,3.3449733257,1.2705736160
Autoformer,custom,96,0,0.3086446524,0.3680138886
DLinear,ETTh1,96,0,0.3717163801,0.3952139616
DLinear,ETTh2,96,0,0.3026903868,0.3661595285
DLinear,ETTm1,96,0,0.2998473048,0.3430581689
DLinear,ETTm2,96,0,0.1684308797,0.2644308209
DLinear,custom,24,0,3.2126238346,1.2708706856
DLinear,custom,96,0,0.1741696149,0.2345365286
Informer,ETTh1,96,0,0.9643483758,0.7803738117
Informer,ETTh2,96,0,2.8697290421,1.3384670019
Informer,ETTm1,96,0,0.6328575611,0.5655583143
Informer,ETTm2,96,0,0.3709535003,0.4555438161
Informer,custom,24,0,5.0795235634,1.5401110649
Informer,custom,96,0,0.3869367838,0.4364405870
PatchTST,ETTh1,96,0,0.3813759387,0.4063098431
PatchTST,ETTh2,96,0,0.3145037591,0.3646617532
PatchTST,ETTm1,96,0,0.2981731594,0.3489706814
PatchTST,ETTm2,96,0,0.1728220582,0.2640388608
PatchTST,custom,24,0,2.2267193794,1.0280022621
PatchTST,custom,96,0,0.1517603099,0.2024952471
TiDE,ETTh1,96,0,0.3958204687,0.4140930772
TiDE,ETTh2,96,0,0.2914274037,0.3515274227
TiDE,ETTm1,96,0,0.3068671525,0.3485134244
TiDE,ETTm2,96,0,0.1690116376,0.2595213950
TiDE,custom,24,0,3.7035198212,1.3884067535
TiDE,custom,96,0,0.1755254716,0.2254967242
TimeXer,ETTh1,96,0,0.3908599317,0.4076481760
TimeXer,ETTh2,96,0,0.2968669236,0.3604391217
TimeXer,ETTm1,96,0,0.3159912527,0.3613562286
TimeXer,ETTm2,96,0,0.1716415882,0.2562199533
TimeXer,custom,24,0,2.3849906921,1.0325711966
TimeXer,custom,96,0,0.1488425136,0.2007926702
Transformer,ETTh1,96,0,0.8581150174,0.7227218151
Transformer,ETTh2,96,0,2.7321393490,1.3180590868
Transformer,ETTm1,96,0,0.6848092675,0.6035869122
Transformer,ETTm2,96,0,0.5292701721,0.5343879461
Transformer,custom,24,0,4.7261695862,1.4553269148
Transformer,custom,96,0,0.3279730678,0.3730053902
iTransformer,ETTh1,96,0,0.3997432292,0.4173975587
iTransformer,ETTh2,96,0,0.3062117398,0.3605532348
iTransformer,ETTm1,96,0,0.3099287152,0.3613476753
iTransformer,ETTm2,96,0,0.1749095470,0.2660312653
iTransformer,custom,24,0,2.2319731712,1.0126990080
iTransformer,custom,96,0,0.1599816531,0.2070362866
