Model,Dataset,Horizon,MSE_mean,MSE_std,MAE_mean,MAE_std,N_runs
Autoformer,ETTh1,96,0.467017,0.000000,0.470982,0.000000,1
Autoformer,ETTh2,96,0.369603,0.000000,0.405876,0.000000,1
Autoformer,ETTm1,96,0.517649,0.000000,0.476156,0.000000,1
Autoformer,ETTm2,96,0.229445,0.000000,0.311823,0.000000,1
Autoformer,custom,24,3.344973,0.000000,1.270574,0.000000,1
Autoformer,custom,96,0.308645,0.000000,0.368014,0.000000,1
DLinear,ETTh1,96,0.371716,0.000000,0.395214,0.000000,1
DLinear,ETTh2,96,0.302690,0.000000,0.366160,0.000000,1
DLinear,ETTm1,96,0.299847,0.000000,0.343058,0.000000,1
DLinear,ETTm2,96,0.168431,0.000000,0.264431,0.000000,1
DLinear,custom,24,3.212624,0.000000,1.270871,0.000000,1
DLinear,custom,96,0.174170,0.000000,0.234537,0.000000,1
Informer,ETTh1,96,0.964348,0.000000,0.780374,0.000000,1
Informer,ETTh2,96,2.869729,0.000000,1.338467,0.000000,1
Informer,ETTm1,96,0.632858,0.000000,0.565558,0.000000,1
Informer,ETTm2,96,0.370954,0.000000,0.455544,0.000000,1
Informer,custom,24,5.079524,0.000000,1.540111,0.000000,1
Informer,custom,96,0.386937,0.000000,0.436441,0.000000,1
PatchTST,ETTh1,96,0.381376,0.000000,0.406310,0.000000,1
PatchTST,ETTh2,96,0.314504,0.000000,0.364662,0.000000,1
PatchTST,ETTm1,96,0.298173,0.000000,0.348971,0.000000,1
PatchTST,ETTm2,96,0.172822,0.000000,0.264039,0.000000,1
PatchTST,custom,24,2.226719,0.000000,1.028002,0.000000,1
PatchTST,custom,96,0.151760,0.000000,0.202495,0.000000,1
TiDE,ETTh1,96,0.395820,0.000000,0.414093,0.000000,1
TiDE,ETTh2,96,0.291427,0.000000,0.351527,0.000000,1
TiDE,ETTm1,96,0.306867,0.000000,0.348513,0.000000,1
TiDE,ETTm2,96,0.169012,0.000000,0.259521,0.000000,1
TiDE,custom,24,3.703520,0.000000,1.388407,0.000000,1
TiDE,custom,96,0.175525,0.000000,0.225497,0.000000,1
TimeXer,ETTh1,96,0.390860,0.000000,0.407648,0.000000,1
TimeXer,ETTh2,96,0.296867,0.000000,0.360439,0.000000,1
TimeXer,ETTm1,96,0.315991,0.000000,0.361356,0.000000,1
TimeXer,ETTm2,96,0.171642,0.000000,0.256220,0.000000,1
TimeXer,custom,24,2.384991,0.000000,1.032571,0.000000,1
TimeXer,custom,96,0.148843,0.000000,0.200793,0.000000,1
Transformer,ETTh1,96,0.858115,0.000000,0.722722,0.000000,1
Transformer,ETTh2,96,2.732139,0.000000,1.318059,0.000000,1
Transformer,ETTm1,96,0.684809,0.000000,0.603587,0.000000,1
Transformer,ETTm2,96,0.529270,0.000000,0.534388,0.000000,1
Transformer,custom,24,4.726170,0.000000,1.455327,0.000000,1
Transformer,custom,96,0.327973,0.000000,0.373005,0.000000,1
iTransformer,ETTh1,96,0.399743,0.000000,0.417398,0.000000,1
iTransformer,ETTh2,96,0.306212,0.000000,0.360553,0.000000,1
iTransformer,ETTm1,96,0.309929,0.000000,0.361348,0.000000,1
iTransformer,ETTm2,96,0.174910,0.000000,0.266031,0.000000,1
iTransformer,custom,24,2.231973,0.000000,1.012699,0.000000,1
iTransformer,custom,96,0.159982,0.000000,0.207036,0.000000,1
