Model,Missing_Rate,MSE,MAE,Dataset,Horizon
PFB-Direct,0.0,0.3426261,0.37474528,ETTm1,192
PFB-Direct,0.1,0.35839778,0.3905214,ETTm1,192
PFB-Direct,0.2,0.38388792,0.41361108,ETTm1,192
PFB-Direct,0.3,0.4191456,0.44458583,ETTm1,192
DLinear,0.0,0.3344588,0.36490658,ETTm1,192
DLinear,0.1,0.35145086,0.3868881,ETTm1,192
DLinear,0.2,0.3825784,0.41660053,ETTm1,192
DLinear,0.3,0.42608026,0.4511438,ETTm1,192
PatchTST,0.0,0.3428993,0.37755632,ETTm1,192
PatchTST,0.1,0.3593677,0.39478016,ETTm1,192
PatchTST,0.2,0.38326818,0.41558883,ETTm1,192
PatchTST,0.3,0.41842774,0.44540778,ETTm1,192
