Model,Dataset,MSE,MAE,ExperimentName,LineNo,Source
MSGNet,ETTh1,0.43583670258522034,0.44667497277259827,long_term_forecast_Smoke_MSGNet_ETTh1_MSGNet_ETTh1_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2302,result_long_term_forecast.txt
MSGNet,ETTh2,0.3442632853984833,0.39373552799224854,long_term_forecast_Smoke_MSGNet_ETTh2_MSGNet_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2305,result_long_term_forecast.txt
MSGNet,ETTm1,0.3186410665512085,0.370770663022995,long_term_forecast_Smoke_MSGNet_ETTm1_MSGNet_ETTm1_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2293,result_long_term_forecast.txt
MSGNet,ETTm2,0.18984432518482208,0.2734622359275818,long_term_forecast_Smoke_MSGNet_ETTm2_MSGNet_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2296,result_long_term_forecast.txt
MSGNet,Exchange,0.1750512719154358,0.30243703722953796,long_term_forecast_Smoke_MSGNet_Exchange_MSGNet_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2308,result_long_term_forecast.txt
MSGNet,Illness,2.5811214447021484,1.0630887746810913,long_term_forecast_Smoke_MSGNet_Illness_MSGNet_custom_ftM_sl104_ll18_pl24_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2311,result_long_term_forecast.txt
PAttn,ETTh1,0.39798039197921753,0.41171348094940186,long_term_forecast_Smoke_PAttn_ETTh1_PAttn_ETTh1_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2320,result_long_term_forecast.txt
PAttn,ETTh2,0.29532888531684875,0.3499608635902405,long_term_forecast_Smoke_PAttn_ETTh2_PAttn_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2323,result_long_term_forecast.txt
PAttn,ETTm1,0.309531569480896,0.35442256927490234,long_term_forecast_Smoke_PAttn_ETTm1_PAttn_ETTm1_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2314,result_long_term_forecast.txt
PAttn,ETTm2,0.17222191393375397,0.2616959512233734,long_term_forecast_Smoke_PAttn_ETTm2_PAttn_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2317,result_long_term_forecast.txt
PAttn,Exchange,0.09001047909259796,0.21290671825408936,long_term_forecast_Smoke_PAttn_Exchange_PAttn_custom_ftM_sl336_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2326,result_long_term_forecast.txt
PAttn,Illness,2.2537930011749268,1.017825722694397,long_term_forecast_Smoke_PAttn_Illness_PAttn_custom_ftM_sl104_ll18_pl24_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2329,result_long_term_forecast.txt
WPMixer,ETTh1,0.38146093487739563,0.4023115336894989,long_term_forecast_Smoke_WPMixer_ETTh1_WPMixer_ETTh1_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_smoke_screen_v1_0,2269,result_long_term_forecast.txt
