Model,Mean_MSE,Std,N,CI_Lower,CI_Upper,CI_Width
BERTOnly,0.31193096770180595,0.13172139251986573,9,0.2106809424199188,0.4131809929836931,0.2025000505637743
PatchTST,0.3753612944235404,0.42334791152341045,20,0.1772283729028031,0.5734942159442776,0.3962658430414745
PatchFusionBERT_v0,0.43871435028811295,0.5752231764653566,10,0.02722447851907056,0.8502042220571553,0.8229797435380848
TiDE,0.6217248514294624,1.086306632421504,10,-0.15537210009419766,1.3988218029531225,1.5541939030473202
TimeXer,0.6486992917277596,0.7541631072321515,11,0.14204562236213558,1.1553529610933837,1.0133073387312481
DLinear,0.7084181251173669,1.068286663334684,22,0.2347663532982392,1.1820698969364947,0.9473035436382555
PatchFusionBERT_v2,0.74364458459119,0.7743276421629464,12,0.25166027270058977,1.2356288964817903,0.9839686237812005
Autoformer,0.7892117670604161,1.133809483490698,7,-0.25938711314862994,1.8378106472694622,2.097197760418092
iTransformer,0.809395756572485,0.8595281626297178,12,0.2632776166327182,1.3555138965122517,1.0922362798795335
Transformer,1.6237819443146388,1.6670350471931865,6,-0.12566404716557522,3.373227935794853,3.498891982960428
Informer,2.093699582985469,2.3260204879158732,7,-0.05751057576418095,4.244909741735119,4.3024203174993
