Model_A,Model_B,Mean_MSE_A,Mean_MSE_B,p_value,Significant,Cohens_d,Effect_Size,Winner,N_comparisons
PatchFusionBERT_v2,iTransformer,0.74364458459119,0.809395756572485,0.00048828125,Yes,-0.08395070778585643,Small,PatchFusionBERT_v2,12
PatchTST,iTransformer,0.5027988468607266,0.5268458440899849,0.001953125,Yes,-0.04276106582777772,Small,PatchTST,10
DLinear,PatchFusionBERT_v0,0.5779771439731121,0.43871435028811295,0.001953125,Yes,0.1892684487561455,Small,PatchFusionBERT_v0,10
PatchFusionBERT_v2,TimeXer,0.6874432290593783,0.740798188580407,0.00390625,Yes,-0.0723502707841067,Small,PatchFusionBERT_v2,9
Autoformer,Informer,0.7892117670604161,2.093699582985469,0.015625,Yes,-0.7700591650446246,Medium,Autoformer,7
Autoformer,PatchTST,0.7892117670604161,0.5280135720968246,0.015625,Yes,0.2986345402550319,Small,PatchTST,7
Informer,TiDE,2.093699582985469,0.7570994730506625,0.015625,Yes,0.765799513416576,Medium,TiDE,7
Informer,PatchTST,2.093699582985469,0.5280135720968246,0.015625,Yes,0.9837961255345276,Large,PatchTST,7
DLinear,Informer,0.702130393258163,2.093699582985469,0.015625,Yes,-0.8242599416316101,Large,DLinear,7
PatchFusionBERT_v0,Transformer,0.23659265376627445,1.6237819443146388,0.03125,Yes,-1.2874197094933497,Large,PatchFusionBERT_v0,6
DLinear,Transformer,0.24908028501603333,1.6237819443146388,0.03125,Yes,-1.2758181020538855,Large,DLinear,6
PatchTST,Transformer,0.23222357034683225,1.6237819443146388,0.03125,Yes,-1.290660345093611,Large,PatchTST,6
Autoformer,DLinear,0.7892117670604161,0.702130393258163,0.03125,Yes,0.08369932812978771,Small,DLinear,7
BERTOnly,Transformer,0.2700241953134537,1.6237819443146388,0.03125,Yes,-1.2559974841254242,Large,BERTOnly,6
BERTOnly,PatchTST,0.31193096770180595,0.2593635028159176,0.0390625,Yes,0.4769887531464621,Small,PatchTST,9
BERTOnly,PatchFusionBERT_v0,0.31193096770180595,0.25850688641270003,0.0390625,Yes,0.5145848286958027,Medium,PatchFusionBERT_v0,9
DLinear,PatchTST,0.44188317619264117,0.3753612944235404,0.04844093322753906,Yes,0.12277769593291461,Small,PatchTST,20
Informer,PatchFusionBERT_v0,2.6117382287979125,0.6013647874693075,0.0625,No,1.1530274068031041,Large,PatchFusionBERT_v0,5
Autoformer,PatchFusionBERT_v0,0.9079633414745331,0.6013647874693075,0.0625,No,0.30426154942236694,Small,PatchFusionBERT_v0,5
BERTOnly,TiDE,0.32544888130256105,0.2587201531444277,0.078125,No,0.5889626978851196,Medium,TiDE,7
PatchFusionBERT_v2,PatchTST,0.4922358863055706,0.5027988468607266,0.130859375,No,-0.01962958079799726,Small,PatchFusionBERT_v2,10
DLinear,PatchFusionBERT_v2,1.0773256292773616,0.74364458459119,0.1513671875,No,0.3154817243716281,Small,PatchFusionBERT_v2,12
PatchFusionBERT_v0,PatchTST,0.43871435028811295,0.444783899684747,0.232421875,No,-0.010943662829812096,Small,PatchFusionBERT_v0,10
PatchTST,TimeXer,0.3028038762233875,0.31294044852256775,0.25,No,-0.09004229100989289,Small,PatchTST,9
Autoformer,TiDE,0.7892117670604161,0.7570994730506625,0.296875,No,0.02840006870116031,Small,TiDE,7
BERTOnly,DLinear,0.31193096770180595,0.28431428279037824,0.359375,No,0.24573225025090903,Small,DLinear,9
TimeXer,iTransformer,0.740798188580407,0.7523448848062091,0.42578125,No,-0.014827113057188942,Small,TimeXer,9
DLinear,TiDE,0.5979259587824345,0.6217248514294624,0.556640625,No,-0.024849880664111947,Small,DLinear,10
PatchTST,TiDE,0.46370251079400376,0.6217248514294624,0.6953125,No,-0.19074915232351805,Small,PatchTST,10
DLinear,iTransformer,1.0773256292773616,0.809395756572485,0.85009765625,No,0.2463880427135989,Small,iTransformer,12
PatchFusionBERT_v0,TiDE,0.4892287490578989,0.6893201116472483,0.9453125,No,-0.2194614876166045,Small,PatchFusionBERT_v0,8
DLinear,TimeXer,0.8643160462379454,0.6486992917277596,1.0,No,0.21981020444315738,Small,TimeXer,11
