Dataset,Horizon,SeqLen,Model,MSE,MAE,ExperimentName,LineNo,Source
ETTh1,96,336,TSMixer,0.498543381690979,0.49214762449264526,long_term_forecast_TSMixerScreenV2_ETTh1_96_TSMixer_ETTh1_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2194,result_long_term_forecast.txt
ETTh1,192,336,TSMixer,0.5987868905067444,0.5570486783981323,long_term_forecast_TSMixerScreenV2_ETTh1_192_TSMixer_ETTh1_ftM_sl336_ll96_pl192_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2197,result_long_term_forecast.txt
ETTh1,336,336,TSMixer,0.6812536716461182,0.6068003177642822,long_term_forecast_TSMixerScreenV2_ETTh1_336_TSMixer_ETTh1_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2200,result_long_term_forecast.txt
ETTh2,96,336,TSMixer,0.5372077822685242,0.56602942943573,long_term_forecast_TSMixerScreenV2_ETTh2_96_TSMixer_ETTh2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2203,result_long_term_forecast.txt
ETTh2,192,336,TSMixer,0.6742967367172241,0.6403068900108337,long_term_forecast_TSMixerScreenV2_ETTh2_192_TSMixer_ETTh2_ftM_sl336_ll96_pl192_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2206,result_long_term_forecast.txt
ETTh2,336,336,TSMixer,0.7831817865371704,0.6943251490592957,long_term_forecast_TSMixerScreenV2_ETTh2_336_TSMixer_ETTh2_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2209,result_long_term_forecast.txt
ETTm1,96,336,TSMixer,0.3279822766780853,0.3825666010379791,long_term_forecast_TSMixerScreenV2_ETTm1_96_TSMixer_ETTm1_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2176,result_long_term_forecast.txt
ETTm1,192,336,TSMixer,0.37214919924736023,0.412757009267807,long_term_forecast_TSMixerScreenV2_ETTm1_192_TSMixer_ETTm1_ftM_sl336_ll96_pl192_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2179,result_long_term_forecast.txt
ETTm1,336,336,TSMixer,0.4234757721424103,0.44886210560798645,long_term_forecast_TSMixerScreenV2_ETTm1_336_TSMixer_ETTm1_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2182,result_long_term_forecast.txt
ETTm2,96,336,TSMixer,0.24076761305332184,0.3575129210948944,long_term_forecast_TSMixerScreenV2_ETTm2_96_TSMixer_ETTm2_ftM_sl336_ll48_pl96_dm128_nh8_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_tsmixer_screen_v2_0,2185,result_long_term_forecast.txt
