Dataset,Horizon,Model,MSE,MAE,Source,MSE_Rank,MAE_Rank,BestExistingModel,BestExistingMSE,BestExistingMAE,DeltaVsBestExisting_MSE,DeltaVsBestExisting_MAE
ETTh1,96,PatchFusionBERT_v0,0.3675,0.3952,results_23-01.md,1.0,1.0,PatchFusionBERT_v0,0.3675,0.3952,0.0,0.0
ETTh1,96,DLinear,0.3717,0.3952,results_23-01.md,2.0,1.0,PatchFusionBERT_v0,0.3675,0.3952,0.0041999999999999815,0.0
ETTh1,96,WPMixer,0.37567171454429626,0.3974533975124359,result_long_term_forecast.txt,3.0,4.0,PatchFusionBERT_v0,0.3675,0.3952,0.008171714544296271,0.0022533975124359173
ETTh1,96,PatchFusionBERT_BERTOnly,0.38,0.405,results_23-01.md,4.0,5.0,PatchFusionBERT_v0,0.3675,0.3952,0.012500000000000011,0.009800000000000031
ETTh1,96,PAttn,0.3807840049266815,0.3974483907222748,result_long_term_forecast.txt,5.0,3.0,PatchFusionBERT_v0,0.3675,0.3952,0.013284004926681525,0.0022483907222747845
ETTh1,96,PatchTST,0.3814,0.4063,results_23-01.md,6.0,7.0,PatchFusionBERT_v0,0.3675,0.3952,0.013900000000000023,0.011099999999999999
ETTh1,96,PatchFusionBERT_v2,0.3863,0.4053,results_23-01.md,7.0,6.0,PatchFusionBERT_v0,0.3675,0.3952,0.018799999999999983,0.010099999999999998
ETTh1,96,TimeXer,0.3909,0.4076,results_23-01.md,8.0,8.0,PatchFusionBERT_v0,0.3675,0.3952,0.023400000000000032,0.012400000000000022
ETTh1,96,TiDE,0.3958,0.4141,results_23-01.md,9.0,9.0,PatchFusionBERT_v0,0.3675,0.3952,0.028299999999999992,0.018900000000000028
ETTh1,96,iTransformer,0.3997,0.4174,results_23-01.md,10.0,10.0,PatchFusionBERT_v0,0.3675,0.3952,0.032200000000000006,0.022199999999999998
ETTh1,192,WPMixer,0.4080143868923187,0.4166092872619629,result_long_term_forecast.txt,1.0,1.0,PatchFusionBERT_v0,0.4106,0.4242,-0.002585613107681295,-0.007590712738037131
ETTh1,192,PatchFusionBERT_v0,0.4106,0.4242,results_23-01.md,2.0,3.0,PatchFusionBERT_v0,0.4106,0.4242,0.0,0.0
ETTh1,192,DLinear,0.4111,0.4231,results_23-01.md,3.0,2.0,PatchFusionBERT_v0,0.4106,0.4242,0.0005000000000000004,-0.0011000000000000454
ETTh1,192,PatchFusionBERT_v2,0.4198,0.4266,results_23-01.md,4.0,4.0,PatchFusionBERT_v0,0.4106,0.4242,0.009199999999999986,0.0023999999999999577
ETTh1,192,PatchFusionBERT_BERTOnly,0.4238,0.4332,results_23-01.md,5.0,9.0,PatchFusionBERT_v0,0.4106,0.4242,0.01319999999999999,0.008999999999999952
ETTh1,192,TimeXer,0.4239,0.4269,results_23-01.md,6.0,5.0,PatchFusionBERT_v0,0.4106,0.4242,0.013299999999999979,0.00269999999999998
ETTh1,192,PAttn,0.4278201758861542,0.4286823868751526,result_long_term_forecast.txt,7.0,6.0,PatchFusionBERT_v0,0.4106,0.4242,0.017220175886154154,0.004482386875152566
ETTh1,192,TiDE,0.4283,0.4327,results_23-01.md,8.0,8.0,PatchFusionBERT_v0,0.4106,0.4242,0.017699999999999994,0.008499999999999952
ETTh1,192,PatchTST,0.4312,0.4325,results_23-01.md,9.0,7.0,PatchFusionBERT_v0,0.4106,0.4242,0.020600000000000007,0.008299999999999974
ETTh1,192,iTransformer,0.4495,0.4506,results_23-01.md,10.0,10.0,PatchFusionBERT_v0,0.4106,0.4242,0.03889999999999999,0.02639999999999998
ETTh1,336,WPMixer,0.43204548954963684,0.4332450330257416,result_long_term_forecast.txt,1.0,1.0,DLinear,0.4334,0.4371,-0.0013545104503631666,-0.0038549669742584114
ETTh1,336,DLinear,0.4334,0.4371,results_23-01.md,2.0,2.0,DLinear,0.4334,0.4371,0.0,0.0
ETTh1,336,PatchFusionBERT_v0,0.4378,0.4476,results_23-01.md,3.0,6.0,DLinear,0.4334,0.4371,0.004400000000000015,0.01050000000000001
ETTh1,336,PatchFusionBERT_v2,0.4411,0.4404,results_23-01.md,4.0,3.0,DLinear,0.4334,0.4371,0.007699999999999985,0.003300000000000025
ETTh1,336,PatchFusionBERT_BERTOnly,0.4491,0.4536,results_23-01.md,5.0,8.0,DLinear,0.4334,0.4371,0.015699999999999992,0.016500000000000015
ETTh1,336,TiDE,0.4502,0.4466,results_23-01.md,6.0,5.0,DLinear,0.4334,0.4371,0.01679999999999998,0.009500000000000008
ETTh1,336,PAttn,0.4524666666984558,0.44453904032707214,result_long_term_forecast.txt,7.0,4.0,DLinear,0.4334,0.4371,0.019066666698455803,0.007439040327072155
ETTh1,336,TimeXer,0.4575,0.4532,results_23-01.md,8.0,7.0,DLinear,0.4334,0.4371,0.02410000000000001,0.016100000000000003
ETTh1,336,iTransformer,0.4636,0.4645,results_23-01.md,9.0,9.0,DLinear,0.4334,0.4371,0.030200000000000005,0.027400000000000035
ETTh1,336,PatchTST,0.4934,0.4901,results_23-01.md,10.0,10.0,DLinear,0.4334,0.4371,0.06,0.05299999999999999
ETTh2,96,WPMixer,0.2827973961830139,0.34436818957328796,result_long_term_forecast.txt,1.0,1.0,PatchFusionBERT_v2,0.2893,0.3474,-0.006502603816986086,-0.0030318104267120227
ETTh2,96,PatchFusionBERT_v2,0.2893,0.3474,results_23-01.md,2.0,2.0,PatchFusionBERT_v2,0.2893,0.3474,0.0,0.0
ETTh2,96,TiDE,0.2914,0.3515,results_23-01.md,3.0,3.0,PatchFusionBERT_v2,0.2893,0.3474,0.0020999999999999908,0.0040999999999999925
ETTh2,96,TimeXer,0.2969,0.3604,results_23-01.md,4.0,5.0,PatchFusionBERT_v2,0.2893,0.3474,0.007599999999999996,0.013000000000000012
ETTh2,96,DLinear,0.3027,0.3662,results_23-01.md,5.0,9.0,PatchFusionBERT_v2,0.2893,0.3474,0.013400000000000023,0.01880000000000004
ETTh2,96,PatchFusionBERT_v0,0.3054,0.3524,results_23-01.md,6.0,4.0,PatchFusionBERT_v2,0.2893,0.3474,0.016100000000000003,0.0050000000000000044
ETTh2,96,PAttn,0.30594897270202637,0.3645177185535431,result_long_term_forecast.txt,7.0,7.0,PatchFusionBERT_v2,0.2893,0.3474,0.016648972702026366,0.017117718553543104
ETTh2,96,iTransformer,0.3062,0.3606,results_23-01.md,8.0,6.0,PatchFusionBERT_v2,0.2893,0.3474,0.016900000000000026,0.01319999999999999
ETTh2,96,PatchFusionBERT_BERTOnly,0.3085,0.3679,results_23-01.md,9.0,10.0,PatchFusionBERT_v2,0.2893,0.3474,0.019199999999999995,0.020500000000000018
ETTh2,96,PatchTST,0.3145,0.3647,results_23-01.md,10.0,8.0,PatchFusionBERT_v2,0.2893,0.3474,0.0252,0.017300000000000038
ETTh2,192,WPMixer,0.34861767292022705,0.3933177590370178,result_long_term_forecast.txt,1.0,2.0,TiDE,0.3517,0.3903,-0.003082327079772962,0.003017759037017842
ETTh2,192,TiDE,0.3517,0.3903,results_23-01.md,2.0,1.0,TiDE,0.3517,0.3903,0.0,0.0
ETTh2,192,TimeXer,0.3614,0.3972,results_23-01.md,3.0,4.0,TiDE,0.3517,0.3903,0.009699999999999986,0.006900000000000017
ETTh2,192,iTransformer,0.3667,0.4009,results_23-01.md,4.0,6.0,TiDE,0.3517,0.3903,0.015000000000000013,0.010599999999999998
ETTh2,192,PatchFusionBERT_v2,0.3673,0.3952,results_23-01.md,5.0,3.0,TiDE,0.3517,0.3903,0.015600000000000003,0.0049000000000000155
ETTh2,192,PatchFusionBERT_v0,0.372,0.4004,results_23-01.md,6.0,5.0,TiDE,0.3517,0.3903,0.020299999999999985,0.010099999999999998
ETTh2,192,PAttn,0.378322035074234,0.4086313247680664,result_long_term_forecast.txt,7.0,7.0,TiDE,0.3517,0.3903,0.026622035074233996,0.018331324768066426
ETTh2,192,DLinear,0.3821,0.4169,results_23-01.md,8.0,9.0,TiDE,0.3517,0.3903,0.030399999999999983,0.026600000000000013
ETTh2,192,PatchTST,0.3887,0.4118,results_23-01.md,9.0,8.0,TiDE,0.3517,0.3903,0.03699999999999998,0.02150000000000002
ETTh2,192,PatchFusionBERT_BERTOnly,0.3895,0.4296,results_23-01.md,10.0,10.0,TiDE,0.3517,0.3903,0.0378,0.0393
ETTh2,336,TiDE,0.3736,0.4109,results_23-01.md,1.0,1.0,TiDE,0.3736,0.4109,0.0,0.0
ETTh2,336,WPMixer,0.375068336725235,0.41346126794815063,result_long_term_forecast.txt,2.0,2.0,TiDE,0.3736,0.4109,0.0014683367252349977,0.0025612679481506473
ETTh2,336,PatchFusionBERT_v0,0.3814,0.4139,results_23-01.md,3.0,3.0,TiDE,0.3736,0.4109,0.007800000000000029,0.0030000000000000027
ETTh2,336,TimeXer,0.3945,0.4265,results_23-01.md,4.0,6.0,TiDE,0.3736,0.4109,0.02090000000000003,0.015600000000000003
ETTh2,336,PatchFusionBERT_v2,0.3955,0.4225,results_23-01.md,5.0,4.0,TiDE,0.3736,0.4109,0.02190000000000003,0.0116
ETTh2,336,PAttn,0.3966336250305176,0.4291788637638092,result_long_term_forecast.txt,6.0,7.0,TiDE,0.3736,0.4109,0.02303362503051759,0.018278863763809217
ETTh2,336,iTransformer,0.3988,0.4229,results_23-01.md,7.0,5.0,TiDE,0.3736,0.4109,0.0252,0.01200000000000001
ETTh2,336,PatchTST,0.4059,0.4293,results_23-01.md,8.0,8.0,TiDE,0.3736,0.4109,0.032299999999999995,0.018400000000000027
ETTh2,336,DLinear,0.4747,0.4773,results_23-01.md,9.0,9.0,TiDE,0.3736,0.4109,0.10110000000000002,0.06640000000000001
ETTh2,336,PatchFusionBERT_BERTOnly,0.5889,0.5536,results_23-01.md,10.0,10.0,TiDE,0.3736,0.4109,0.2153,0.1427
ETTm1,96,WPMixer,0.2862321436405182,0.3392452597618103,result_long_term_forecast.txt,1.0,1.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,-0.01046785635948183,-0.009354740238189718
ETTm1,96,PAttn,0.2957708537578583,0.34685763716697693,result_long_term_forecast.txt,2.0,4.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,-0.0009291462421417429,-0.0017423628330230923
ETTm1,96,PatchFusionBERT_BERTOnly,0.2967,0.3486,results_23-01.md,3.0,7.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.0,0.0
ETTm1,96,PatchTST,0.2982,0.349,results_23-01.md,4.0,8.0,PatchFusionBERT_BERTOnly,0.2967,0.3486,0.0015000000000000013,0.00039999999999995595
