"dataset","horizon","model","n","mse_mean","mse_sd","mae_mean","mae_sd","source_gpu","source_note"
"AQShunyi","96","PFB-Direct","5","0.634548580647","0.002149711699","0.482325083017","0.004993506479","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","96","PFB-Projected","5","0.628339231014","0.002920732511","0.476947921515","0.004017566992","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","96","PatchTST","5","0.653547322750","0.003305402520","0.484384828806","0.002355976971","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","192","PFB-Direct","5","0.668418288231","0.002659464774","0.496665453911","0.002560615587","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","192","PFB-Projected","5","0.669807827473","0.001489303086","0.497972023487","0.002779410059","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","192","PatchTST","5","0.688958501816","0.003347932405","0.502896410227","0.003963644260","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","336","PFB-Direct","5","0.694069743156","0.002543856891","0.510940158367","0.002519312834","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","336","PFB-Projected","5","0.696353042126","0.005355402984","0.514552795887","0.002498341294","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"AQShunyi","336","PatchTST","5","0.703907585144","0.001860843476","0.513122534752","0.001430740304","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","96","PFB-Direct","5","0.174131625891","0.000805600717","0.229425856471","0.001529298656","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","96","PFB-Projected","5","0.171196460724","0.000845401121","0.224283927679","0.002239680799","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","96","PatchTST","5","0.174799627066","0.001125403866","0.231130844355","0.001786568001","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","192","PFB-Direct","5","0.206994897127","0.001901924019","0.256287151575","0.003413175416","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","192","PFB-Projected","5","0.204471847415","0.001342037854","0.249739268422","0.003460492429","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","192","PatchTST","5","0.209055089951","0.001568995954","0.259874230623","0.002353358204","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","336","PFB-Direct","5","0.238244974613","0.002691588304","0.284312111139","0.004875359156","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","336","PFB-Projected","5","0.236628136039","0.003992327783","0.280163407326","0.008010881915","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"CzeLan","336","PatchTST","5","0.238851219416","0.000930703016","0.286262267828","0.001149339080","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","96","PFB-Direct","5","0.780326628685","0.005419042102","0.619344925880","0.002757443087","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","96","PFB-Projected","5","0.783610761166","0.004097476837","0.616254425049","0.002379050178","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","96","PatchTST","5","0.792668962479","0.004329908499","0.624270820618","0.001806601685","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","192","PFB-Direct","5","0.934283626080","0.007294357969","0.703663671017","0.002910564102","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","192","PFB-Projected","5","0.940766477585","0.008369465806","0.705230760574","0.007138308196","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","192","PatchTST","5","0.953803884983","0.004523680684","0.710126173496","0.002652051726","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","336","PFB-Direct","5","1.057226824760","0.008484704246","0.767338788509","0.001314190203","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","336","PFB-Projected","5","1.055888438225","0.007494307362","0.763113796711","0.003743370448","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Wind","336","PatchTST","5","1.074686241150","0.002838266767","0.769683587551","0.003797665138","NVIDIA GeForce RTX 2080 Ti","local workstation result"
