"Dataset","Model","Branch_Mode","Corruption","Severity","Corruption_Seed","MSE","MAE","Realized_Rate","Elements","Checkpoint_ID","Checkpoint_SHA256","source_gpu","source_note"
"Weather","PFB-Direct","both","clean","0.0","0","0.1935910948568574","0.23873750917180728","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.1","11","0.1943666133948141","0.23982716270828433","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.1","22","0.19433411078427582","0.2398231166214876","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.1","33","0.1943768551668529","0.23987316325602298","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.2","11","0.19628683092281374","0.2422800256423903","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.2","22","0.19627029883596836","0.24231481601568733","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.2","33","0.19637191503715784","0.24240956401338695","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.3","11","0.19894072374038696","0.2453734455074353","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.3","22","0.198915092879314","0.2453863839645976","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","gaussian","0.3","33","0.19907421773484454","0.24553959643843495","0.0","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","both","mcar","0.1","11","0.20273895728744704","0.25627294018187236","0.09999911031789249","41723136","long_term_forecast_PFB-Direct_MS2021_Weather_192_PFB-Direct_custom_ftM_sl336_ll96_pl192_dm128_nh8_el3_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_multiseed_h192_0","a513b228a5f42884a03ff722f82d51d5bfb0aa25371c5206be6b15c12733bdd5","NVIDIA GeForce RTX 2080 Ti","local workstation result"
