"Dataset","Horizon","A_second_depth","B_fusion_projection","C_head_shape","Cell","NSeeds","Seeds","MSE_mean","MSE_std","MAE_mean","MAE_std","source_gpu","source_note"
"ETTh2","192","3","0","direct","D3_P0_Hdirect","5","2021;2022;2023;2024;2025","0.373768079281","0.00832154539701","0.398529577255","0.00293809498914","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","3","0","matched_mlp","D3_P0_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.380418014526","0.0106257892562","0.405118918419","0.00527010587566","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","3","1","direct","D3_P1_Hdirect","5","2021;2022;2023;2024;2025","0.378149706125","0.00958326705714","0.402615654468","0.0044308863594","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","3","1","matched_mlp","D3_P1_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.369704520702","0.00500401980639","0.40089918375","0.00262813190536","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","4","0","direct","D4_P0_Hdirect","5","2021;2022;2023;2024;2025","0.379329293966","0.0154193090928","0.399880248308","0.00277131146829","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","4","0","matched_mlp","D4_P0_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.381462556123","0.0100988884049","0.406650221348","0.00492942115889","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","4","1","direct","D4_P1_Hdirect","5","2021;2022;2023;2024;2025","0.381978935003","0.0118547038482","0.402435100078","0.00295320598413","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","4","1","matched_mlp","D4_P1_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.381088626385","0.0121074638174","0.406797015667","0.00316542680063","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","3","0","direct","D3_P0_Hdirect","5","2021;2022;2023;2024;2025","0.228674763441","0.00415852068946","0.297497183084","0.00225662605071","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","3","0","matched_mlp","D3_P0_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.23714658916","0.00583780671399","0.305765879154","0.00301167357859","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","3","1","direct","D3_P1_Hdirect","5","2021;2022;2023;2024;2025","0.234464162588","0.008615664178","0.301508074999","0.00575289047829","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","3","1","matched_mlp","D3_P1_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.241236710548","0.00682885087038","0.307117724419","0.00485829817404","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","4","0","direct","D4_P0_Hdirect","5","2021;2022;2023;2024;2025","0.227499204874","0.0065908739367","0.297116941213","0.00309588106071","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","4","0","matched_mlp","D4_P0_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.235745042563","0.00281564147628","0.304742008448","0.00145944213448","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","4","1","direct","D4_P1_Hdirect","5","2021;2022;2023;2024;2025","0.239939749241","0.00284145566642","0.302929425239","0.00213368087269","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","4","1","matched_mlp","D4_P1_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.241312104464","0.00960906034603","0.306228709221","0.00453619983377","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","3","0","direct","D3_P0_Hdirect","5","2021;2022;2023;2024;2025","0.196356037259","0.00190326395341","0.242906853557","0.00275433532408","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","3","0","matched_mlp","D3_P0_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.195104807615","0.00136289323642","0.242575404048","0.00303076209487","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","3","1","direct","D3_P1_Hdirect","5","2021;2022;2023;2024;2025","0.197754862904","0.00162358472118","0.243813163042","0.00124896472133","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","3","1","matched_mlp","D3_P1_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.197812533379","0.00455124990951","0.245408421755","0.00547968334549","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","4","0","direct","D4_P0_Hdirect","5","2021;2022;2023;2024;2025","0.195344793797","0.00192869021542","0.242096164823","0.00231375194557","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","4","0","matched_mlp","D4_P0_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.196081274748","0.00212348136738","0.243659704924","0.00225643074906","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","4","1","direct","D4_P1_Hdirect","5","2021;2022;2023;2024;2025","0.196279597282","0.00263269565265","0.243931683898","0.00377126783609","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","4","1","matched_mlp","D4_P1_Hmatched_mlp","5","2021;2022;2023;2024;2025","0.195560923219","0.00221258636719","0.242602837086","0.00191215367268","NVIDIA GeForce RTX 2080 Ti","local workstation result"
