"dataset","metric","effect","effect_mean","ci95_low","ci95_high","p_raw","p_bh","p_holm","practical_label_1pct","experiment_run_on"
"ETTh2","MAE","A:B","0.00070882588625","-0.002819863427486583","0.004237515199986584","0.6067739745636072","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MAE","A:B:C","0.00147443860775","-0.0004174596938169247","0.003366336909316925","0.09647702671089622","0.4755285802831626","1.0","equivalent","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MAE","A:C","0.00156475454565","-0.0020391472787118737","0.005168656370011874","0.29444945106873976","0.7729298090554418","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MAE","A_second_depth","0.00214981287715","-0.00129852274072081","0.00559814849502081","0.1585095267610542","0.4755285802831626","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MAE","B:C","-0.00267846733325","-0.006357538737269844","0.0010006040707698444","0.11332590165995304","0.4755285802831626","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MAE","B_fusion_projection","0.00064199715845","-0.003542713126309435","0.004826707443209435","0.692065499572502","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MAE","C_head_shape","0.00400118976845","0.001490476763233568","0.006511902773666433","0.011469255500310546","0.12042718275326073","0.22938511000621092","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MAE","A:B","0.00048411190505","-0.003127339967723798","0.004095563777823798","0.7286378397858815","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MAE","A:B:C","-0.00041668415075","-0.004694745155630108","0.0038613768541301084","0.8002120774834041","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MAE","A:C","-0.00073849856845","-0.004420691465200771","0.002943694328300771","0.6073192336636277","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MAE","A_second_depth","-0.00021794438365","-0.003612327287289626","0.0031764385199896258","0.8671767095841657","0.8671767095841657","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MAE","B:C","-0.00174620747575","-0.0043781343567596675","0.0008857194052596677","0.1392603225288681","0.4755285802831626","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MAE","B_fusion_projection","0.00316548049445","0.0008996514684318558","0.005431309520468145","0.01785888977220382","0.12501222840542675","0.3393189056718726","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MAE","C_head_shape","0.00620067417635","0.0037093527598759776","0.008691995592824023","0.002300567857495149","0.04831192500739813","0.04831192500739813","harm","NVIDIA GeForce RTX 2080 Ti"
"Weather","MAE","A:B","-0.00074016898875","-0.004202511154229556","0.0027221731767295564","0.5847557836406285","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MAE","A:B:C","-0.00120477378365","-0.004888627824662635","0.002479080257362635","0.41522956190614285","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MAE","A:C","-0.00025727897885","-0.002152116133611695","0.001637558175911695","0.7253332237385037","0.8445834274856479","1.0","equivalent","NVIDIA GeForce RTX 2080 Ti"
"Weather","MAE","A_second_depth","-0.00060336291795","-0.0028748571829729664","0.0016681313470729665","0.5017466387580567","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MAE","B:C","-0.00024141967315","-0.002774271046964481","0.0022914317006644813","0.8043651690339504","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MAE","B_fusion_projection","0.00112949460735","-0.0020086051952272173","0.004267594409927217","0.3741911064947206","0.8445834274856479","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MAE","C_head_shape","0.00037462562325","-0.0016341474747235357","0.002383398721223536","0.6319227511161776","0.8445834274856479","1.0","equivalent","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MSE","A:B","0.0021518945695","-0.005386941731647228","0.009690730870647228","0.4724148095520345","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MSE","A:B:C","0.0030178874734","-0.0059362864831388786","0.011972061429938879","0.4023716291195652","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MSE","A:C","0.0007595509291","-0.011525596098091222","0.01304469795629122","0.8720403104137606","0.9625340202395404","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MSE","A_second_depth","0.0054547727108","-0.003573725448781901","0.014483270870381901","0.16875857277053535","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MSE","B:C","-0.0045296728609","-0.01727911893621167","0.008219773214411672","0.3797681467839785","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MSE","B_fusion_projection","-0.0010140389204","-0.011729507602996325","0.009701429762196326","0.8057258096868771","0.9400134446346899","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","MSE","C_head_shape","-0.0001380741596","-0.0069008697695552785","0.006624721450355278","0.9575139929927156","0.9625340202395404","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MSE","A:B","0.00203202143305","-0.005208762776237901","0.0092728056423379","0.47940398144435165","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MSE","A:B:C","-0.00129355117675","-0.005622265527362306","0.0030351631738623056","0.45336102695972724","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MSE","A:C","-0.00140654519195","-0.006705114960726422","0.0038920245768264213","0.5019984224567385","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MSE","A_second_depth","0.00074346885085","-0.005898079483407238","0.007385017185107239","0.7714742581267209","0.9400134446346899","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MSE","B:C","-0.00214319005605","-0.007942916420302483","0.003656536308202484","0.36288813707079914","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MSE","B_fusion_projection","0.00697178170075","0.002260396693309817","0.011683166708190184","0.014750094151837022","0.30975197718857744","0.30975197718857744","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","MSE","C_head_shape","0.00621564164755","0.00045152046510058864","0.011979762829999411","0.04018180056265561","0.42190890590788394","0.8036360112531122","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MSE","A:B","-0.00092302486305","-0.003843790975131708","0.001997741249031708","0.42980029012531296","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MSE","A:B:C","-0.00069101378325","-0.0034067406864498515","0.0020247131199498517","0.5188780315535623","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MSE","A:C","0.00030284151425","-0.001206979955936105","0.0018126629844361052","0.6072819783176489","0.8501947696447084","1.0","equivalent","NVIDIA GeForce RTX 2080 Ti"
"Weather","MSE","A_second_depth","-0.00094041302795","-0.002604029152297917","0.0007232030963979166","0.19162077854983053","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MSE","B:C","-3.656372425e-05","-0.002067693883810258","0.0019945664353102576","0.9625340202395404","0.9625340202395404","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MSE","B_fusion_projection","0.00113025084135","-0.001285805334008722","0.0035463070167087224","0.263811160661696","0.7783170473303435","1.0","indeterminate","NVIDIA GeForce RTX 2080 Ti"
"Weather","MSE","C_head_shape","-0.00029393807055","-0.0019606352197628126","0.0013727590786628125","0.6500191952473837","0.8531501937621911","1.0","equivalent","NVIDIA GeForce RTX 2080 Ti"
