"Campaign","Dataset","Horizon","Model","NSeeds","Seeds","MSE_mean","MSE_std","MAE_mean","MAE_std","experiment_run_on"
"H720Rep","ETTh1","720","PFB-Direct","5","2021;2022;2023;2024;2025","0.5296804189682007","0.04624668802963201","0.5104208707809448","0.02653477489617416","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTh1","720","PFB-Projected","5","2021;2022;2023;2024;2025","0.5979885935783387","0.03549036985133642","0.53590487241745","0.010024408181306364","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTh1","720","PatchTST","5","2021;2022;2023;2024;2025","0.5712016224861145","0.07811019002040318","0.5275579631328583","0.035615080538690405","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTh2","720","PFB-Direct","5","2021;2022;2023;2024;2025","0.42516270875930784","0.003160914617058544","0.4508810877799988","0.0014871665647668915","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTh2","720","PFB-Projected","5","2021;2022;2023;2024;2025","0.4142452359199524","0.003540806480985275","0.4453405857086182","0.0023194605693523016","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTh2","720","PatchTST","5","2021;2022;2023;2024;2025","0.4271955907344818","0.006402030433309282","0.4545100688934326","0.004337830357794542","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTm1","720","PFB-Direct","5","2021;2022;2023;2024;2025","0.42267853021621704","0.006424608740177338","0.4269605815410614","0.002576479238868425","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTm1","720","PFB-Projected","5","2021;2022;2023;2024;2025","0.42192804217338564","0.008153816346572113","0.42662057280540466","0.004119492411983874","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTm1","720","PatchTST","5","2021;2022;2023;2024;2025","0.4297948062419891","0.007955365009397477","0.43174020051956175","0.003691730005408817","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTm2","720","PFB-Direct","5","2021;2022;2023;2024;2025","0.36611518263816833","0.003179889398293564","0.38781702518463135","0.0034473277988135106","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTm2","720","PFB-Projected","5","2021;2022;2023;2024;2025","0.37288089394569396","0.006900926605705344","0.3900764942169189","0.00485942198452955","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","ETTm2","720","PatchTST","5","2021;2022;2023;2024;2025","0.37711256742477417","0.011540628839795238","0.3972636580467224","0.007157011970385637","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","Exchange","720","PFB-Direct","5","2021;2022;2023;2024;2025","0.9572210311889648","0.04303974393701398","0.7286962985992431","0.016258327353844866","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","Exchange","720","PFB-Projected","5","2021;2022;2023;2024;2025","0.9713451743125916","0.04499968595970449","0.7287802815437316","0.021078437022092392","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","Exchange","720","PatchTST","5","2021;2022;2023;2024;2025","1.0156272172927856","0.06302543415280246","0.7488369226455689","0.025024013752663925","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","Weather","720","PFB-Direct","5","2021;2022;2023;2024;2025","0.3284965634346008","0.0055817359608309495","0.33677669763565066","0.003378391616669483","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","Weather","720","PFB-Projected","5","2021;2022;2023;2024;2025","0.32827619910240174","0.005838836224272669","0.33727423548698426","0.003152281327431561","NVIDIA GeForce RTX 2080 Ti"
"H720Rep","Weather","720","PatchTST","5","2021;2022;2023;2024;2025","0.3284501492977142","0.0031529105857734207","0.33764376640319826","0.0016547661691331975","NVIDIA GeForce RTX 2080 Ti"
