"dataset","model","mse_mean","mse_sd","mae_mean","mae_sd","experiment_run_on"
"ETTh1","DLinear","0.490776216984","0.012514900885","0.502739739418","0.010074418766","NVIDIA GeForce RTX 2080 Ti"
"ETTh1","PFB-Direct","0.529680418968","0.046246688030","0.510420870781","0.026534774896","NVIDIA GeForce RTX 2080 Ti"
"ETTh1","PFB-Projected","0.597988593578","0.035490369851","0.535904872417","0.010024408181","NVIDIA GeForce RTX 2080 Ti"
"ETTh1","PatchTST","0.571201622486","0.078110190020","0.527557963133","0.035615080539","NVIDIA GeForce RTX 2080 Ti"
"ETTh1","TiDE","0.443995076418","0.000137621108","0.458460390568","0.000088965046","NVIDIA GeForce RTX 2080 Ti"
"ETTh1","TimeXer","0.620828044415","0.033778768148","0.573042392731","0.012223820593","NVIDIA GeForce RTX 2080 Ti"
"ETTh1","iTransformer","0.594021153450","0.010239629800","0.544107151031","0.008720459763","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","DLinear","0.690417683125","0.069339729561","0.589252412319","0.028984778153","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","PFB-Direct","0.425162708759","0.003160914617","0.450881087780","0.001487166565","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","PFB-Projected","0.414245235920","0.003540806481","0.445340585709","0.002319460569","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","PatchTST","0.427195590734","0.006402030433","0.454510068893","0.004337830358","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","TiDE","0.396516722441","0.006132422006","0.432645791769","0.002996532361","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","TimeXer","0.411955261230","0.016757581038","0.438528650999","0.009976133969","NVIDIA GeForce RTX 2080 Ti"
"ETTh2","iTransformer","0.437829691172","0.009705419124","0.456483763456","0.005118236310","NVIDIA GeForce RTX 2080 Ti"
"ETTm1","DLinear","0.434364056587","0.012385935076","0.431235289574","0.013455022190","NVIDIA GeForce RTX 2080 Ti"
"ETTm1","PFB-Direct","0.422678530216","0.006424608740","0.426960581541","0.002576479239","NVIDIA GeForce RTX 2080 Ti"
"ETTm1","PFB-Projected","0.421928042173","0.008153816347","0.426620572805","0.004119492412","NVIDIA GeForce RTX 2080 Ti"
"ETTm1","PatchTST","0.429794806242","0.007955365009","0.431740200520","0.003691730005","NVIDIA GeForce RTX 2080 Ti"
"ETTm1","TiDE","0.428370726109","0.001322969126","0.416760206223","0.000818847528","NVIDIA GeForce RTX 2080 Ti"
"ETTm1","TimeXer","0.433908343315","0.009174517299","0.435019904375","0.007684085653","NVIDIA GeForce RTX 2080 Ti"
"ETTm1","iTransformer","0.454459726810","0.012559758478","0.444085866213","0.003663991174","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","DLinear","0.426261657476","0.023423157780","0.438210266829","0.019599861055","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","PFB-Direct","0.366115182638","0.003179889398","0.387817025185","0.003447327799","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","PFB-Projected","0.372880893946","0.006900926606","0.390076494217","0.004859421985","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","PatchTST","0.377112567425","0.011540628840","0.397263658047","0.007157011970","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","TiDE","0.368003219366","0.000121557205","0.383356201649","0.000057590860","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","TimeXer","0.378654444218","0.006448074583","0.393748033047","0.003785892115","NVIDIA GeForce RTX 2080 Ti"
"ETTm2","iTransformer","0.391846060753","0.004991779278","0.405509018898","0.002473760691","NVIDIA GeForce RTX 2080 Ti"
"Exchange","DLinear","0.636086976528","0.080085770567","0.617454886436","0.027329009825","NVIDIA GeForce RTX 2080 Ti"
"Exchange","PFB-Direct","0.957221031189","0.043039743937","0.728696298599","0.016258327354","NVIDIA GeForce RTX 2080 Ti"
"Exchange","PFB-Projected","0.971345174313","0.044999685960","0.728780281544","0.021078437022","NVIDIA GeForce RTX 2080 Ti"
"Exchange","PatchTST","1.015627217293","0.063025434153","0.748836922646","0.025024013753","NVIDIA GeForce RTX 2080 Ti"
"Exchange","TiDE","0.893301081657","0.011151664100","0.707466220856","0.003990072088","NVIDIA GeForce RTX 2080 Ti"
"Exchange","TimeXer","0.946912312508","0.076705651687","0.716260349751","0.033075125528","NVIDIA GeForce RTX 2080 Ti"
"Exchange","iTransformer","0.951754081249","0.096669071126","0.736377167702","0.034868956262","NVIDIA GeForce RTX 2080 Ti"
"Weather","DLinear","0.326201218367","0.005070698250","0.366058892012","0.007689115862","NVIDIA GeForce RTX 2080 Ti"
"Weather","PFB-Direct","0.328496563435","0.005581735961","0.336776697636","0.003378391617","NVIDIA GeForce RTX 2080 Ti"
"Weather","PFB-Projected","0.328276199102","0.005838836224","0.337274235487","0.003152281327","NVIDIA GeForce RTX 2080 Ti"
"Weather","PatchTST","0.328450149298","0.003152910586","0.337643766403","0.001654766169","NVIDIA GeForce RTX 2080 Ti"
"Weather","TiDE","0.333094662428","0.000262227003","0.341882336140","0.000108595039","NVIDIA GeForce RTX 2080 Ti"
"Weather","TimeXer","0.322690558434","0.001236732381","0.339104455709","0.002352124108","NVIDIA GeForce RTX 2080 Ti"
"Weather","iTransformer","0.334606039524","0.003614778677","0.344054192305","0.001032964763","NVIDIA GeForce RTX 2080 Ti"
