"dataset","model","configuration","n_seeds","mse_mean","mse_std","mae_mean","mae_std","source_gpu","source_note"
"ETTh2","PatchTST","tuned_baseline","5","0.364401251077652","0.004038473778701136","0.4019795835018158","0.00376019540295295","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","PFB-Direct","tuned_baseline","5","0.38598768711090087","0.00750446407080486","0.40480840802192686","0.0073339551042241585","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","PFB-Direct","selected_secondary","5","0.3811342120170593","0.01537486645955704","0.4001447379589081","0.0033314045677034854","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","PFB-Projected","tuned_baseline","5","0.36427990198135374","0.002434131212545283","0.39670108556747435","0.001315349929640911","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","PatchTST","tuned_baseline","5","0.2316155970096588","0.0036378156731975654","0.30049046874046326","0.0012921283441389578","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","PatchTST","selected_secondary","5","0.2332770586013794","0.004136588006552375","0.30079421401023865","0.0020716084915881083","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","PFB-Direct","tuned_baseline","5","0.23408688008785247","0.011548333117704231","0.2985982775688171","0.006765162931327587","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","PFB-Projected","tuned_baseline","5","0.23539124429225922","0.005410317349527163","0.30195369720458987","0.003716194044551307","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PatchTST","tuned_baseline","5","0.19500927925109862","0.0008410528805510566","0.24204337000846862","0.0006451012835162311","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","tuned_baseline","5","0.19485263526439667","0.0010291274817919582","0.2411558747291565","0.0010619668063288983","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Projected","tuned_baseline","5","0.1974661648273468","0.0029169747547536937","0.24427806138992308","0.003024204252280623","NVIDIA GeForce RTX 2080 Ti","local workstation result"
