"dataset","horizon","pfb_direct_mse","serial_mse","relative_mse_pct_pfb_vs_serial","practical_band_1pct","source_gpu","source_note"
"ETTh1","96","0.372194498777","0.375138270855","-0.784717","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh1","192","0.419562768936","0.416453504562","0.746605","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh1","336","0.450308161974","0.433563715219","3.862050","serial","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","96","0.304524379969","0.312206208706","-2.460498","PFB-Direct","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","0.373768079281","0.373010808229","0.203016","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","336","0.386178946495","0.388289779425","-0.543623","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","96","0.299879586697","0.297771584988","0.707926","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","192","0.339511644840","0.337584239244","0.570941","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","336","0.374112075567","0.373974722624","0.036728","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","96","0.171333655715","0.171026346087","0.179686","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","0.228674763441","0.236206960678","-3.188813","PFB-Direct","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","336","0.282096898556","0.288466006517","-2.207923","PFB-Direct","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","96","0.098238950968","0.098331172764","-0.093787","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","192","0.224406489730","0.206208339334","8.825128","serial","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","336","0.373547780514","0.361888539791","3.221777","serial","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","96","0.149556219578","0.150144755840","-0.391979","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","0.196356037259","0.194631105661","0.886257","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","336","0.249932965636","0.247721287608","0.892809","tie","NVIDIA GeForce RTX 2080 Ti","local workstation result"
