"dataset","horizon","model","relative_mse_pct","source_gpu","source_note"
"ETTh1","96","PFB-Direct","-2.282573","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh1","96","PFB-Projected","0.755928","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh1","192","PFB-Direct","-2.907922","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh1","192","PFB-Projected","-2.217951","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh1","336","PFB-Direct","-6.225102","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh1","336","PFB-Projected","-7.582606","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","96","PFB-Direct","-3.661491","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","96","PFB-Projected","-5.206391","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","PFB-Direct","-2.257539","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","192","PFB-Projected","-3.261230","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","336","PFB-Direct","-5.260357","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","336","PFB-Projected","-3.782551","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","96","PFB-Direct","0.615366","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","96","PFB-Projected","1.419180","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","192","PFB-Direct","0.926696","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","192","PFB-Projected","1.167525","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","336","PFB-Direct","-0.001153","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm1","336","PFB-Projected","-0.775018","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","96","PFB-Direct","-3.109891","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","96","PFB-Projected","-2.904888","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","PFB-Direct","-3.508079","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","192","PFB-Projected","-1.971353","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","336","PFB-Direct","-2.913266","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","336","PFB-Projected","0.766999","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","96","PFB-Direct","4.088726","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","96","PFB-Projected","1.072478","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","192","PFB-Direct","16.808790","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","192","PFB-Projected","4.698208","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","336","PFB-Direct","2.949952","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Exchange","336","PFB-Projected","1.081898","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","96","PFB-Direct","-1.009600","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","96","PFB-Projected","-1.008631","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","PFB-Direct","-1.042394","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","192","PFB-Projected","-1.815995","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","336","PFB-Direct","-1.742362","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","336","PFB-Projected","-2.319861","NVIDIA GeForce RTX 2080 Ti","local workstation result"
