"dataset","model","n","mse_mean","mse_sd","mae_mean","mae_sd","source_gpu","source_note"
"ETTh2","DLinear","5","0.338344","0.003421","0.378718","0.001469","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","TiDE","5","0.339841","0.003039","0.380022","0.001168","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","PFB-Direct","5","0.373855","0.006796","0.399028","0.002515","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","PFB-Projected","5","0.375084","0.012966","0.397742","0.005986","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","PatchTST","5","0.386317","0.013117","0.407783","0.006564","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","TimeXer","5","0.387734","0.014618","0.409140","0.008962","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTh2","iTransformer","5","0.423060","0.017679","0.428030","0.008993","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","DLinear","5","0.219785","0.000285","0.290549","0.000120","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","TiDE","5","0.220019","0.000245","0.291070","0.000422","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","TimeXer","5","0.228221","0.004158","0.297117","0.002501","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","PFB-Direct","5","0.231185","0.004134","0.298375","0.002978","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","PFB-Projected","5","0.232100","0.004931","0.298980","0.002926","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","PatchTST","5","0.236579","0.008681","0.306116","0.005518","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"ETTm2","iTransformer","5","0.245033","0.005782","0.313867","0.003714","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","TimeXer","5","0.192519","0.001700","0.244179","0.002698","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Direct","5","0.194853","0.001029","0.241156","0.001062","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PFB-Projected","5","0.195393","0.002096","0.242189","0.001445","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","PatchTST","5","0.199400","0.002813","0.244746","0.002640","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","iTransformer","5","0.211161","0.002732","0.256969","0.002419","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","TiDE","5","0.217380","0.000112","0.259716","0.000166","NVIDIA GeForce RTX 2080 Ti","local workstation result"
"Weather","DLinear","5","0.217585","0.000225","0.259960","0.000139","NVIDIA GeForce RTX 2080 Ti","local workstation result"
